"dist_name","dist_code","land_area","hholds","hhreg","fheads","density","urban","hhsize","totpop","males","females","sexratio","popbl15","malbl15","fembl15","pop1019","mal1019","fem1019","pop1564","mal1564","fem1564","pop65ov","mal65ov","fem65ov","fem1549","dependency","buddhist","muslim","christian","oth_rel","t_nevmar","t_married","t_widow","t_divsep","m_nevmar","m_married","m_widow","m_divsep","f_nevmar","f_married","f_widow","f_divsep","lit_t7","lit_m7","lit_f7","lit_t15","lit_m15","lit_f15","att_now_t","att_past_t","att_nev_t","att_now_m","att_past_m","att_nev_m","att_now_f","att_past_f","att_nev_f","t_noeduc","t_primnc","t_primar","t_lowsec","t_higher","m_noeduc","m_primnc","m_primar","m_lowsec","m_higher","f_noeduc","f_primnc","f_primar","f_lowsec","f_higher","mig_pob","mig_pr","mig_pr5","mreas12","mreas4","mreas5","mreas6","mreas7","tfr","smam_m","smam_f","cmr","imr","elife","t_gar","m_gar","f_gar","t_uer","m_uer","f_uer","t_prim","t_sec","t_ter","m_prim","m_sec","m_ter","f_prim","f_sec","f_ter","l_pow","l_gen","l_pg","l_keros","l_batt","l_oth","f_wood","f_char","f_keros","f_lpg","f_oth","t_yes","t_no","w_pipe","w_tube","w_well","w_riv","w_buy","w_oth","w_safe","bld_perm","bld_semi","bld_temp","last_update"
"Aek Phnum","0205","1054.1","12494","12001","28.5","62.1","0","5.2","65408","31584","33824","93.4","27784","14068","13716","17181","8818","8363","35039","16591","18448","2585","925","1660","15715","86.7","64690","289","119","212","32.5","57.2","7.6","2.7","36.6","60.2","2","1.1","28.9","54.6","12.5","4.1","64.3","70.2","58.9","70.6","79.8","62.6","57.8","67.4","29.5","60.5","76.8","19.5","55","59.6","37.9","0.8","41.3","19.7","7.5","2.5","0.7","41.9","24.1","10.2","3.5","0.9","40.8","15.9","5.3","1.6","21.6","23.7","9.6","29.6","8.8","38.3","2.5","3.2","","25.9","23.6","","","","47.4","54.5","40.8","14.7","12.8","17.1","65.9","7.3","26.8","67.1","8.1","24.8","64.3","6.3","29.3","11.4","1.6","2.9","78.2","5.7","0.2","98","0.3","0.7","0.3","0.6","21","79","1.8","1","27.2","63.8","5.8","0.4","8.6","27.6","43.8","28.6","2014-03-28 17:47:44"
"Andoung Meas","1601","766.1","1144","1141","8.2","9","0","6","6896","3419","3477","98.3","3028","1597","1431","1553","772","781","3618","1675","1943","250","147","103","1665","90.6","492","5","192","6196","18.6","73.3","6.5","1.6","20.5","76.8","2.1","0.6","17","70.1","10.4","2.5","6.6","11.3","2.2","8.2","15.1","2.1","3.5","7.9","91.6","4.9","14.4","84.9","2.1","2","97.7","0.4","6.3","0.6","0.4","0.4","0.6","11.6","1.1","0.8","0.7","0.2","1.6","0.1","0.1","0.2","6.6","6.9","3.3","11","15","59.5","1.8","2.6","","21.6","19.6","","","","76.5","75.7","77.1","0.8","0.6","1","96.9","0.1","3","94.3","0.3","5.4","99.3","0","0.7","0.1","0","0","3.4","0.4","96.1","99.9","0","0","0","0.1","0.8","99.2","0.2","0.1","12.4","87.4","0","0","0.3","2.9","6.6","90.5","2014-03-28 17:47:44"
"Angk Snuol","0808","303.1","16974","16765","31.7","293.4","0","5.2","88921","42844","46077","93","38270","19564","18706","23923","12267","11656","47577","22049","25528","3074","1231","1843","21491","86.9","88424","127","203","53","28.5","60.1","8.1","3.4","33.5","63.4","1.9","1.2","24.2","57.3","13.3","5.2","71.8","80.4","63.9","75.6","88.5","64.5","66.7","68.8","29.2","72.2","83.3","13.9","61","57.2","41.4","0.8","40.1","23","8.4","3.2","0.7","39.8","30.7","12.2","5.7","0.9","40.4","16.4","5.3","1.2","29.5","41.5","8.9","31","17.7","28.4","1.2","3","","23.9","21.9","","","","57.8","55.8","59.6","3.7","3.6","3.8","76.8","6.8","16.4","68.4","7.1","24.5","84","6.5","9.5","5.3","1","3.8","86.7","3.1","0.1","95.6","2.7","1","0.6","0.1","9.9","90.1","0.7","14.8","17.8","60.1","6.5","0","22","54.2","12.2","33.6","2014-03-28 17:47:44"
"Angkor Borei","2101","307.1","8483","8351","17.5","146.5","0","5.3","44980","21805","23175","94.1","20071","10302","9769","12046","6040","6006","23321","10775","12546","1588","728","860","10817","92.9","44041","556","114","95","27.4","65","4.6","3","29.4","68.1","1.5","1.1","25.6","62.5","7.2","4.7","59.2","68","51.1","66.9","80.6","55.2","57.5","62.7","34.7","63.2","76.6","20.3","51.7","51","46.7","1.5","37.6","19.3","8.6","1.4","1.2","38.4","27.7","12.5","2.3","1.7","36.8","12.1","5.3","0.7","19.2","19.5","4.9","28.3","15.2","27","0.9","1.7","","23","22.2","","","","50.1","52.6","47.8","5.8","5.1","6.5","92.9","0.4","6.7","90.2","0.5","9.3","95.6","0.3","4.1","0.6","0.4","0.6","91.3","7.1","0.1","98.2","0.5","0.8","0.4","0.1","3.9","96.1","2.1","12.9","15.4","67.7","0.6","1.3","15.6","44","19.8","36.2","2014-03-28 17:47:44"
"Angkor Chey","0701","326.9","14889","14850","26.4","221.7","0","4.8","72459","34466","37993","90.7","31877","16358","15519","19541","10096","9445","37228","16768","20460","3354","1340","2014","17061","94.6","72258","79","9","27","26.2","62.5","8.4","2.9","30.2","66.8","2.1","0.9","22.9","59","13.6","4.5","67","75.5","59.6","71.7","85.3","60.7","68.8","67.1","31.2","73.7","81.8","15.8","63.6","56.1","42.7","0.7","35.7","23.2","11.3","2","0.5","37.7","29.8","15.6","3.3","0.9","34.1","18","8.1","1.1","9.9","10.3","3.2","10.7","30","20.3","1.2","2.5","","22.9","21.8","","","","56.9","52.3","60.9","1.7","1.9","1.5","93.2","0.4","6.3","89.2","0.7","10.1","96.3","0.2","3.5","0.7","0.4","0.9","97.6","0.4","0","98.5","0.4","0.9","0.2","0","4.7","95.3","0.2","1.1","20","78.5","0.1","0","1.4","41.9","21.4","36.7","2014-03-28 17:47:44"
"Angkor Chum","1701","412.2","9091","9031","28","117.6","0","5.3","48476","22671","25805","87.9","23088","11670","11418","13059","6370","6689","24457","10597","13860","931","404","527","12403","98.2","48399","14","0","1","30.2","61.5","7","1.2","32","65.4","2.1","0.5","28.8","58.6","10.8","1.8","23.1","33.3","14.6","27.2","42.5","15.6","22.3","26.4","73","27.4","41.9","57.1","17.3","15","84.6","1.3","22","3.3","0.8","0.1","2.3","32.7","5.8","1.5","0.3","0.5","13.7","1.4","0.2","0","8.2","10.9","3.8","23.1","21.4","22.5","2.3","3.4","","23","22.6","","","","66.2","62.5","69.4","0.7","0.8","0.6","96.4","0.2","3.4","93.4","0.4","6.3","98.7","0","1.3","0.3","0.1","0.2","99","0.2","0.1","96.8","0.4","2.6","0.2","0","0.8","99.2","0.6","1.2","97.8","0.3","0","0","1.8","23.2","31.8","45","2014-03-28 17:47:44"
"Angkor Thum","1702","307.5","3162","3090","24.7","57.7","0","5.5","17750","8611","9139","94.2","8611","4315","4296","4426","2175","2251","8759","4134","4625","380","162","218","4114","102.6","17725","7","0","2","28.4","62.2","7.6","1.8","28.4","69.2","1.9","0.6","28.5","56","12.7","2.9","25.8","35.3","16.9","27.8","41.6","15.5","20.9","26.6","72.9","23.4","41.6","57.9","18.4","13.4","86.1","0.6","22.7","3.1","1.3","0.2","0.9","32.7","5.3","2.2","0.2","0.4","13.8","1.1","0.4","0.1","14.3","15.1","7.6","49.4","11.4","23.3","2.5","4.2","","22.9","22.8","","","","65.7","64.5","66.8","1","1.1","0.9","89.6","1.2","9.2","80.3","1.2","18.5","97.9","1.2","0.9","0.4","0.2","0.3","99.1","0","0","97.2","0.3","2.4","0.1","0","0.4","99.6","0.1","7.4","92.3","0.1","0.1","0","7.6","19.7","30.4","49.9","2014-03-28 17:47:44"
"Anlong Veaeng","2201","2050.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2014-03-28 17:47:44"
"Aoral","0504","2398.1","3362","3235","26.5","6.5","0","4.6","15668","7568","8100","93.4","6692","3383","3309","3554","1742","1812","8447","3972","4475","529","213","316","3744","85.5","15645","6","1","0","23.9","64.1","8.8","3.2","26.2","71.2","1.6","1","21.9","57.8","15.2","5.1","32","46.5","18.9","37.3","56.7","20.2","20.9","32.3","63","25.1","50","42.2","16.9","17.1","81","0.2","23.8","7.1","5.8","0.9","0.2","34.7","12.3","9.5","1.2","0.3","14.3","2.7","2.6","0.6","40.3","77.6","73.3","6.8","1.7","32.6","0.1","55.5","","23.5","22","","","","67.3","66.1","68.5","1.7","1.9","1.6","90.1","1.9","8","80.9","3.8","15.3","98","0.3","1.7","0.4","0.1","0.1","98.9","0.1","0.4","98.3","0.1","1.4","0.2","0","0.4","99.6","0.9","0.2","26.9","72","0","0","1.1","5.6","49","45.5","2014-03-28 17:47:44"
"Ba Phnum","1401","351.1","15317","15264","40.8","204.1","0","4.7","71662","33479","38183","87.7","31184","15894","15290","19450","9953","9497","37398","16237","21161","3080","1348","1732","18054","91.6","71369","22","122","17","27.4","63.2","6.8","2.5","30.7","66.5","1.9","0.9","24.9","60.6","10.7","3.8","68.9","77.4","61.7","74","87.3","63.8","63.5","69.7","29.2","70.7","84.1","14.3","55.9","59.5","39.8","1.5","44.5","20.3","7.1","0.9","1.5","43.8","29.4","11.7","1.7","1.4","45.1","13.2","3.7","0.4","13.5","15","4.9","21.5","25.8","21.6","1.9","2.2","","22.5","22","","","","58","52.5","62.7","3","3.1","2.9","92","1.4","6.6","87.4","1.7","10.9","95.2","1.1","3.6","1.3","0.5","0.1","93.1","4.9","0.1","93.6","0.3","1.1","0.3","4.7","3.5","96.5","0.6","50.4","36.3","10.3","0.7","1.6","51.7","16.9","29.9","53.2","2014-03-28 17:47:44"
