"prov_code","prov_name","land_area","hholds","hhreg","fheads","density","urban","hhsize","totpop","males","females","sexratio","popbl15","malbl15","fembl15","pop1019","mal1019","fem1019","pop1564","mal1564","fem1564","pop65ov","mal65ov","fem65ov","fem1549","dependency","buddhist","muslim","christian","oth_rel","t_nevmar","t_married","t_widow","t_divsep","m_nevmar","m_married","m_widow","m_divsep","f_nevmar","f_married","f_widow","f_divsep","lit_t7","lit_m7","lit_f7","lit_t15","lit_m15","lit_f15","att_now_t","att_past_t","att_nev_t","att_now_m","att_past_m","att_nev_m","att_now_f","att_past_f","att_nev_f","t_noeduc","t_primnc","t_primar","t_lowsec","t_higher","m_noeduc","m_primnc","m_primar","m_lowsec","m_higher","f_noeduc","f_primnc","f_primar","f_lowsec","f_higher","mig_pob","mig_pr","mig_pr5","mreas12","mreas4","mreas5","mreas6","mreas7","tfr","smam_m","smam_f","cmr","imr","elife","t_gar","m_gar","f_gar","t_uer","m_uer","f_uer","t_prim","t_sec","t_ter","m_prim","m_sec","m_ter","f_prim","f_sec","f_ter","l_pow","l_gen","l_pg","l_keros","l_batt","l_oth","f_wood","f_char","f_keros","f_lpg","f_oth","t_yes","t_no","w_pipe","w_tube","w_well","w_riv","w_buy","w_oth","w_safe","bld_perm","bld_semi","bld_temp","last_update"
"01","Banteay Meanchey","6679","111856","110994","21.6","86.5","17.1","5.1","577772","283358","294414","96.2","256072","131100","124972","150562","76456","74106","307009","146319","160690","14691","5939","8752","141039","88.2","572290","2461","1816","237","28","63.7","6","2.3","31.9","65.6","1.5","0.9","24.4","61.9","10.1","3.6","63.8","72.5","55.6","66.9","79.4","55.6","55","61.7","35.8","58.9","75.2","21.8","51","49.9","48.2","0.7","41.9","16.2","6.4","1.8","0.7","44.7","21.9","9.4","2.8","0.8","39.4","11","3.7","0.9","31.3","33.4","15.3","27.2","5","47.2","6","4.5","5.5","24.1","21.8","64","92","53.5","55.2","57.7","52.9","8","6.3","9.7","75.3","3.1","21.6","69.9","3.7","26.4","81.1","2.5","16.4","8.2","1.1","2.8","84.6","2.9","0.4","90.6","7.6","1","0.5","0.2","10.4","89.6","1.1","11.4","26.5","44","6.7","10.3","19.2","31.2","22.7","46.1","2014-03-28 17:48:12"
"02","Battambang","11702","148356","146661","29","67.8","17.6","5.3","793129","388599","404530","96.1","351856","180171","171685","211526","107979","103547","416193","198372","217821","25080","10056","15024","188085","90.6","777769","10358","2614","372","30.3","60.5","6.4","2.7","34.2","63.1","1.6","1.1","26.8","58.2","10.7","4.2","65","72.4","58","70.8","82.1","60.7","56.1","65.7","31.2","59.2","77.7","18.4","52.9","55.4","42.3","0.9","40.2","19.4","7.9","3","0.7","42.3","24.5","10.7","4.5","1","38.3","14.8","5.4","1.8","36.5","39.4","13.8","22.6","5.1","42.3","11.2","4.6","5.7","25.1","22.8","52","80","56.4","50.7","54.7","46.9","8","6.7","9.3","71","4.1","25","65.7","5.2","29.1","76.9","2.9","20.3","10","1.4","2.5","83.2","2.7","0.2","92.4","4.4","1.6","0.6","1","19.9","80.1","4.1","7.8","37.8","39.1","9.8","1.5","21.6","30.8","25.2","44","2014-03-28 17:48:12"
"03","Kampong Cham","9799","312841","311151","21.7","164.2","2.8","5.1","1608914","775796","833118","93.1","677078","347031","330047","417781","212137","205644","863576","398900","464676","68260","29865","38395","401186","86.3","1497624","105188","1890","401","28.5","61.9","6.6","3.1","31.7","65.3","1.9","1.1","25.7","58.9","10.6","4.7","61","69.2","53.5","64","76.1","53.7","56.7","57.9","39","60.9","70.1","25.9","52.3","47.8","49.8","1.1","40","15.4","6","1.4","1.1","42.8","20.8","8.7","2.3","1","37.6","10.8","3.7","0.6","19.4","24","6.8","30.7","12.2","36.6","1.6","1.5","5.22","23.7","22.2","52","79","56.5","55.9","57.1","54.8","4.3","3.9","4.6","85.4","2.8","11.8","81.7","3.6","14.7","89","1.9","9","9.2","1","1.5","82.7","5.3","0.3","96.7","1","1.7","0.6","0.1","9.6","90.4","4.4","9","64.5","13.9","6","2.2","19.3","35.1","24.5","40.4","2014-03-28 17:48:12"
"04","Kampong Chhnang","5521","82638","81201","26.8","75.7","10","5","417693","197691","220002","89.9","185721","94315","91406","105813","53238","52575","216662","97411","119251","15310","5965","9345","101247","92.8","392910","22751","972","569","27.6","61.1","8.1","3.2","30.5","66.8","1.7","1","25.2","56.6","13.2","5","58.9","67.4","51.6","63.9","76.5","53.7","49.1","59.7","38.7","54.3","72.9","24.9","43.7","49.7","49.2","1.2","41.1","15.2","5.4","1.3","1.5","43.8","21.2","8","2.4","1","38.9","10.3","3.4","0.5","28","46.6","10.1","25.6","7.5","39.5","5.3","6.1","5.49","23.7","22.2","63","91","53.8","59.1","57.8","60.3","3.1","2.9","3.2","85.5","1.7","12.8","81.1","2.4","16.4","89.1","1.1","9.9","4.6","0.7","0.7","89.9","3.9","0.2","95.8","1.9","1.8","0.4","0.1","6","94","0.9","17.4","52.9","24.3","1.1","3.5","19.3","21.9","19.2","58.9","2014-03-28 17:48:12"
"05","Kampong Speu","7017","115728","114959","25.6","85.3","6.9","5.1","598882","287392","311490","92.3","272255","138506","133749","159118","81228","77890","306963","140994","165969","19664","7892","11772","141753","95.1","596256","583","640","316","27.2","63.1","7","2.7","31","66.5","1.5","0.9","24.1","60.1","11.5","4.3","59.8","69.9","50.7","64.2","79.2","51.6","54.2","58.3","39.2","60","73.9","22.8","48.2","46","52.3","1","36.3","18","7.6","1.7","1","38.9","25.8","11.4","2.9","0.9","34.2","11.4","4.6","0.9","20.5","25","8.7","19.5","11.1","34.8","4.5","15.7","5.96","23.1","21.9","53","80","56.2","57","54.2","59.5","2.8","2.9","2.7","89.5","1.1","9.4","83.5","1.8","14.7","94.4","0.5","5.1","2.6","0.7","0.7","94.9","1","0.1","96.7","1.1","1.8","0.3","0.1","3.9","96.1","1.8","17.2","33.5","43.9","3.4","0.2","22.4","34.9","18.7","46.5","2014-03-28 17:48:12"
"06","Kampong Thom","13814","106908","105583","28.8","41.2","11.6","5.3","569060","272844","296216","92.1","251873","128362","123511","149780","75633","74147","296982","135760","161222","20205","8722","11483","139206","91.6","563659","3142","1221","234","29.6","60.9","6.9","2.6","32.8","64.5","1.8","0.9","26.9","57.9","11.2","3.9","56.4","63.4","50.1","60.4","71.3","51.3","49.4","56.3","41.8","52.9","67.9","29.7","45.8","47","51.6","1.1","39.3","12.9","5.6","1.4","1.3","42.8","17","7.8","2.4","1","36.4","9.5","3.8","0.7","16.3","17.9","5.9","26.4","14.5","34.7","2.4","1.9","5.88","23.6","22.3","57","85","55.2","51.9","54.9","49.2","8.2","6.4","9.9","86.4","1.8","11.8","83.5","2.3","14.2","89.5","1.2","9.4","5.3","0.4","1","89.4","1.4","2.4","95.6","1.7","2.4","0.3","0.1","13.1","86.9","1.7","1.4","77.5","16.2","0.5","2.7","3.7","32.6","18.7","48.7","2014-03-28 17:48:12"
"07","Kampot","4873","104993","104498","24.5","108.4","6.3","5","528405","253085","275320","91.9","237049","121326","115723","138845","70558","68287","272626","124494","148132","18730","7265","11465","126543","93.8","512549","14316","538","341","26","64","7.1","2.9","29.1","68.5","1.5","0.9","23.5","60.3","11.7","4.5","59.3","68.2","51.4","64.3","78","53","60.3","60.5","37.8","65.6","75.1","22.7","54.9","49","49.8","0.8","38.7","17.3","7.2","1.9","0.7","41.8","23.5","10.5","3.2","0.8","36.1","12.2","4.6","0.9","15.5","18.2","5.5","23.1","15.2","38","2.7","2.7","5.25","22.9","21.9","47","74","57.7","56.7","54.9","58.4","3.7","3.6","3.8","87.7","1.7","10.7","82.8","2.5","14.7","91.7","1","7.3","4.9","0.8","1.1","92.5","0.7","0.1","93.5","3.9","1.9","0.3","0.3","8","92","2.1","5.2","43","43.5","5.9","0.3","13.2","34.2","20.9","44.9","2014-03-28 17:48:12"
"08","Kandal","3568","206189","203357","25.4","301.3","5.4","5.2","1075125","515996","559129","92.3","452036","231488","220548","283805","144736","139069","576296","264673","311623","46793","19835","26958","264874","86.6","1047792","13162","10339","2085","30.3","59.8","6.9","3","33.7","63.4","1.9","1.1","27.5","56.8","11.1","4.6","68.8","76.4","62","72.4","83.7","62.8","64.3","66.8","31.1","69.4","79","18.2","58.9","57","41.5","0.9","38.9","21","8.6","2.9","0.9","38.4","27.4","12.6","4.9","1","39.4","15.6","5.4","1.3","22","28.5","7.3","30.1","15.9","31","2.1","2.8","5.13","24.6","23","43","70","58.8","55.1","55.6","54.6","4.9","4.6","5.3","76.8","6.2","17","73","5.9","21.1","80.3","6.5","13.2","9.4","1","2.4","78.1","8.9","0.2","96.5","1.7","1","0.6","0.1","12.3","87.7","4.4","12.5","11.2","52.2","19.3","0.3","36.2","41.3","22.3","36.4","2014-03-28 17:48:12"
"23","Kep","336","5369","5282","26.8","85.3","100","5.3","28660","14014","14646","95.7","13222","6847","6375","7467","3826","3641","14397","6798","7599","1041","369","672","6564","99.1","27895","689","4","5","26.7","63.5","7.2","2.6","30.8","66.9","1.4","0.8","23.1","60.6","12.1","4.2","54.1","63.3","45.6","60","74","47.8","52.6","57.1","40.9","57.1","71.7","25.7","47.9","44.9","53.6","0.8","38.7","16.2","5.4","1.5","0.7","42.4","22.6","8.5","2.3","0.9","35.4","10.6","2.8","0.7","19.5","27.5","12.2","31.4","5.7","47.7","0.3","1.7","7","23.7","21.9","62","90","54","54.7","55.5","53.9","2","2.2","1.9","82.2","2.2","15.7","76","3.4","20.6","88","1","11","4.9","1.9","2.4","89.7","1.1","0.1","96.3","1.4","2","0.3","0","3.3","96.7","2.5","9.8","52.5","34.6","0.2","0.5","12.4","31.4","16.4","52.2","2014-03-28 17:48:12"
"09","Koh Kong","11160","24964","24125","25.3","11.8","22.2","5.2","132106","67700","64406","105.1","53770","27224","26546","29060","14214","14846","75900","39481","36419","2436","995","1441","32734","74.1","123360","6813","918","261","26.5","67.2","4.1","2.3","30.9","67.2","0.8","1","21.7","67.1","7.5","3.7","55","65.3","44.3","62.5","75.4","48.7","34.1","60.5","38.2","38.3","73.7","24.8","30","46","53","0.9","32.7","18.7","7.7","2.6","0.9","34.5","24.8","10.9","4","0.8","30.7","12.1","4.2","1.1","56.9","58","31.2","43.5","1.1","45.1","2","0.7","5.75","25.2","21.2","41","68","59.4","53.1","66.4","39.1","9.3","7.4","12.5","53.2","7.4","39.4","50.6","9.9","39.4","58.2","2.6","39.2","26.6","4.4","7.8","59.1","0.8","1.3","71.8","24.2","1.4","2.3","0.3","14.7","85.3","2","1.3","57.2","5.9","33.1","0.6","36.3","57.5","29.3","13.2","2014-03-28 17:48:12"
