"dist_code","dist_name","hh_tot","hh_reg","totpop","males","females","density","urban","fheads","sexratio","avg_hs","malbl15","mal1019","mal1564","mal65ov","fembl15","fem1019","fem1564","fem65ov","popbl15","pop1019","pop1564","pop65ov","fem1549","totmed","malmed","femmed","dependency","cw_ratio","buddhist","muslim","christian","oth_rel","smam_t","smam_m","smam_f","t_nevmar","t_married","t_widow","t_divsep","m_nevmar","m_married","m_widow","m_divsep","f_nevmar","f_married","f_widow","f_divsep","t_lit15","m_lit15","f_lit15","t_attend","m_attend","f_attend","m_noeduc","m_pnc","m_prim","m_lowsec","m_sec","m_high","f_noeduc","f_pnc","f_prim","f_lowsec","f_sec","f_high","m25_no","m25_pnc","m25_prim","m25_ls","m25_sec","m25_high","f25_no","f25_pnc","f25_prim","f25_ls","f25_sec","f25_high","m_see","m_speak","m_hear","m_move","m_mental","f_see","f_speak","f_hear","f_move","f_mental","t_active","m_active","f_active","t_primsec","t_secsec","t_tersec","m_primsec","m_secsec","m_tersec","f_primsec","f_secsec","f_tersec","t_uer","m_uer","f_uer","d_own","d_rent","d_free","d_oth","l_city","l_gen","l_cg","l_kero","l_cand","l_batt","l_oth","f_fire","f_char","f_keros","f_lpg","f_elec","f_none","f_oth","t_not","t_sew","t_sep","t_pit","t_oth","w_piped","w_tubed","w_protect","w_unprot","w_rain","w_spring","w_bought","w_other","wl_within","wl_near","wl_away","area","last_update"
"0205","Aek Phnum","14067","13926","68276","32970","35306","63.9","0","24.1","93.4","4.8","11542","8779","20138","1290","11218","8436","21935","2153","22760","17215","42073","3443","18140","20.9","19.7","22.1","62.3","366","67765","316","149","46","25.7","27","24.5","37.1","54.4","6.4","2.1","41.5","55.7","1.9","0.9","33.2","53.1","10.5","3.2","79.77","85.29","74.86","27.46","28.85","26.19","665","10871","6918","4295","425","212","729","11752","6504","3793","353","143","385","4621","3496","2454","258","107","477","5920","2875","1861","176","39","137","63","71","451","130","193","78","75","309","125","55.86","60.86","51.27","70.11","8.67","21.21","69.8","9.93","20.27","70.46","7.3","22.24","1.98","1.77","2.2","13214","58","599","55","3143","280","406","6660","57","3378","2","12758","964","21","155","13","11","4","6866","2829","2896","750","585","866","184","192","2828","137","8137","1333","249","2195","9139","2592","1067.8204","2014-03-28 17:49:04"
"1601","Andoung Meas","1524","1520","10365","5213","5152","12.4","0","10.4","101.2","6.8","2285","1269","2756","172","2166","1128","2843","143","4451","2397","5599","315","2469","17.5","17","17.9","85.1","624.5","2291","2","495","7577","21.4","22.7","20","23.8","71.5","3.1","1.5","27.6","70.8","1.1","0.5","20.1","72.2","5.1","2.6","20.05","27.05","13.19","6.25","6.51","5.98","85","618","193","74","3","0","95","375","80","20","0","0","53","272","119","54","2","0","56","104","37","8","0","0","15","6","6","22","5","13","3","2","4","0","75.02","74.84","75.2","94.53","0.72","4.75","92.56","1.1","6.34","96.53","0.33","3.14","0.03","0.03","0.03","1475","5","30","10","35","73","33","316","45","89","929","1495","16","1","3","1","0","4","1495","6","4","14","1","10","670","124","152","0","563","1","0","195","729","596","837.866","2014-03-28 17:49:04"
"0808","Angk Snuol","25053","23400","129865","59735","70130","433.8","28.4","25.7","85.2","5.1","19790","14632","37935","2010","19003","16257","48057","3070","38793","30889","85992","5080","42013","21.3","20.5","21.7","51","310.7","129012","132","685","36","24.6","25","24.5","37.3","55.8","4.6","2.3","37.1","60.8","1.1","1","37.5","51.9","7.2","3.3","88.06","93.1","84.13","24.91","30.02","20.68","142","17287","16201","11249","831","596","216","24389","19475","7255","316","196","88","7518","7903","6140","559","351","164","12222","7259","3306","149","88","144","54","54","339","120","140","42","82","179","78","69.59","66.52","72.11","48.15","36.88","14.96","51.97","25.9","22.12","45.27","45.16","9.57","1.56","2.06","1.19","22395","634","314","57","3730","1349","2305","2550","112","13344","10","20204","1500","79","1502","45","66","4","12181","3894","6560","610","155","2031","3458","2008","2222","435","6233","6920","93","6062","5878","11460","299.38965","2014-03-28 17:49:04"
"2101","Angkor Borei","9652","9632","46261","22932","23329","153.8","0","17","98.3","4.8","8441","6463","13574","917","7863","5746","14249","1217","16304","12209","27823","2134","11967","20.1","18.7","21.8","66.3","373.2","45644","520","45","52","23.2","24.2","22.3","30","63.2","4.5","2.2","34.5","63.1","1.4","1","25.9","63.3","7.5","3.3","73.32","82.76","64.47","32.74","36.64","28.98","155","6297","5670","3084","249","41","213","7002","4384","1627","51","3","94","2544","2831","1570","186","33","153","3306","1722","728","22","0","100","30","19","156","47","98","27","26","85","50","56.75","56.67","56.84","91.62","1.68","6.7","90.49","1.16","8.35","92.77","2.21","5.03","5.08","2.61","7.46","9479","30","109","14","714","105","157","3182","60","5410","4","9311","150","9","142","4","16","0","8080","548","851","136","17","545","4485","174","55","93","3945","240","95","3183","3606","2843","300.7321","2014-03-28 17:49:04"
"0701","Angkor Chey","17463","17423","72684","34920","37764","229.6","0","26.8","92.5","4.2","12989","9775","20192","1739","12185","8506","22703","2876","25174","18281","42895","4615","18405","21.6","18.7","24.4","69.4","381.6","72438","100","144","2","23.6","24.8","22.4","27.5","62.8","7.2","2.6","33.3","63.9","1.9","0.9","22.5","61.8","11.7","4","82.58","91.07","75.3","33.94","38.32","29.97","141","10509","8884","6210","773","106","207","12155","8009","4706","531","23","76","4483","4442","3287","585","77","141","6694","3783","2299","343","11","128","39","35","416","122","141","41","54","253","112","61.79","58.68","64.59","91.53","0.86","7.61","88.36","0.81","10.83","94.12","0.9","4.98","0.28","0.37","0.21","17100","51","260","12","469","110","292","5544","39","10967","2","17116","147","11","117","1","30","1","12706","1019","2930","749","19","729","1001","366","1318","81","13767","66","95","3068","5608","8747","316.5436","2014-03-28 17:49:04"
"1701","Angkor Chum","11329","11315","53768","25239","28529","112.2","0","29.3","88.5","4.7","10697","6951","13924","618","10234","7276","17403","892","20931","14227","31327","1510","15024","18.3","16.9","19.7","71.6","420.7","53732","23","13","0","23.4","23.8","23.1","31.4","61.1","6","1.4","33.5","64.3","1.6","0.6","29.7","58.6","9.5","2.1","47.46","60.77","36.89","26.35","28.96","24.11","639","8828","2721","916","61","6","565","7860","2187","483","20","0","348","3167","946","450","46","6","283","2144","385","115","11","0","111","18","25","233","31","116","22","31","100","35","65.81","63.92","67.41","94.65","0.73","4.62","91.82","1.25","6.93","96.93","0.32","2.75","0.76","0.61","0.87","11121","40","126","28","299","78","71","9630","8","1218","11","11043","68","100","88","2","9","5","10366","492","175","276","6","211","1797","1269","7777","60","128","31","42","2377","2784","6154","479.0393","2014-03-28 17:49:04"
"1702","Angkor Thum","4802","4790","24335","11748","12587","68.1","0","41.5","93.3","5","5126","3153","6382","240","5163","3208","7079","345","10289","6361","13461","585","6240","17.2","16.6","17.8","80.8","534.8","24257","0","67","11","22.6","23.2","22.1","30.4","64.9","3.5","1.2","33.5","65.1","0.9","0.6","27.6","64.7","5.9","1.8","43.46","54.27","33.82","25.44","26.13","24.8","162","3625","961","404","11","7","144","3068","698","268","5","2","86","1227","305","212","9","4","98","715","100","86","4","1","49","7","9","88","13","35","6","11","28","14","63.75","63.6","63.89","87.89","4.15","7.96","84.18","5.17","10.66","91.27","3.22","5.5","0.48","0.49","0.48","4581","28","162","19","72","92","24","4049","4","548","1","4737","18","10","22","1","2","0","4475","133","54","127","1","113","3417","352","888","0","1","1","18","3016","1279","495","357.257","2014-03-28 17:49:04"
"2201","Anlong Veaeng","8129","7869","39045","19980","19065","25.5","0","26.7","104.8","4.8","7637","5308","12065","278","7118","4972","11533","414","14755","10280","23598","692","10142","18.6","18.5","18.7","65.5","481.6","38978","21","45","1","22.9","24.5","21.3","29.7","66.1","2.6","1.6","34.8","64","0.6","0.6","24.3","68.3","4.8","2.6","68.57","76.72","60.14","26.44","27.58","25.24","195","6840","3363","1765","110","40","198","6155","2556","816","31","13","114","2691","1544","1130","92","34","129","2390","845","445","22","10","122","24","20","342","31","86","14","18","91","24","61.84","64.66","58.88","71.41","5.45","23.14","65.72","7.6","26.68","78.03","2.95","19.03","4.29","3.79","4.86","6887","485","432","65","1054","265","332","3408","70","2675","65","5414","2221","72","139","7","12","4","5836","603","914","366","150","248","2334","667","1853","15","1928","696","128","1352","2259","4258","1532.823","2014-03-28 17:49:04"
"0504","Aoral","6215","6178","29883","14743","15140","12.6","0","15.8","97.4","4.8","6546","3613","7809","388","6274","3453","8268","598","12820","7066","16077","986","7042","17.4","16.5","18.1","85.9","624.5","29848","26","9","0","22.4","23.7","21.2","26.5","65.7","5.4","2.4","30.9","67.4","0.9","0.8","22.4","64.1","9.6","3.9","57.82","71.27","45.39","23.65","25.28","22.1","241","4881","1752","839","31","9","224","4165","1108","371","6","4","114","2000","874","608","19","8","93","1500","336","241","2","4","100","14","27","249","39","83","19","31","76","37","63.49","62.42","64.5","95.28","0.52","4.2","93.17","0.68","6.14","97.24","0.36","2.4","0.57","0.5","0.64","5980","59","121","18","78","115","12","4166","16","1788","3","5888","225","36","23","0","6","0","5727","124","82","243","2","40","2456","524","637","2","2413","81","25","483","2349","3346","2380.4358","2014-03-28 17:49:04"
"1401","Ba Phnum","18619","18583","72576","34415","38161","212","0","37.8","90.2","3.9","13273","9459","19392","1750","12554","8254","23091","2516","25827","17713","42483","4266","18178","22","18.3","25.3","70.8","403.7","72472","22","81","1","23.2","24.6","22","26.2","65.2","6.5","2.1","31.6","65.9","1.7","0.8","21.8","64.6","10.5","3.1","81.6","90.13","74.56","33.53","38.23","29.38","320","11660","8026","5363","236","67","530","14557","6868","3418","133","7","194","4982","4200","3075","190","49","411","8270","3166","1953","89","3","167","43","47","209","59","151","50","53","164","78","62.68","59.16","65.76","90.18","2.03","7.79","86.7","2.33","10.97","92.93","1.79","5.28","0.9","1.05","0.78","17962","71","507","43","550","111","66","6568","30","11249","9","18292","45","78","91","4","65","8","15210","1397","1143","765","68","1101","14557","360","543","163","736","545","578","8200","5711","4672","342.3165","2014-03-28 17:49:04"
