"prov_code","prov_name","hh_tot","hh_reg","totpop","males","females","density","urban","fheads","avg_hs","sexratio","malbl15","mal1019","mal1564","mal65ov","fembl15","fem1019","fem1564","fem65ov","popbl15","pop1019","pop1564","pop65ov","fem1549","totmed","malmed","femmed","dependency","cw_ratio","buddhist","muslim","christian","oth_rel","smam_t","smam_m","smam_f","t_nevmar","t_married","t_widow","t_divsep","m_nevmar","m_married","m_widow","m_divsep","f_nevmar","f_married","f_widow","f_divsep","t_lit15","m_lit15","f_lit15","t_attend","m_attend","f_attend","m_noeduc","m_pnc","m_prim","m_lowsec","m_sec","m_high","f_noeduc","f_pnc","f_prim","f_lowsec","f_sec","f_high","m25_no","m25_pnc","m25_prim","m25_ls","m25_sec","m25_high","f25_no","f25_pnc","f25_prim","f25_ls","f25_sec","f25_high","m_see","m_speak","m_hear","m_move","m_mental","f_see","f_speak","f_hear","f_move","f_mental","t_active","m_active","f_active","t_primsec","t_secsec","t_tersec","m_primsec","m_secsec","m_tersec","f_primsec","f_secsec","f_tersec","t_uer","m_uer","f_uer","d_own","d_rent","d_free","d_oth","l_city","l_gen","l_cg","l_kero","l_cand","l_batt","l_oth","f_fire","f_char","f_keros","f_lpg","f_elec","f_none","f_oth","t_not","t_sew","t_sep","t_pit","t_oth","w_piped","w_tubed","w_protect","w_unprot","w_rain","w_spring","w_bought","w_other","wl_within","wl_near","wl_away","area","last_update"
"01","Banteay Meanchey","145219","144658","677872","331715","346157","110.3","26.76","22.5","4.6","95.8","116657","85658","205587","9471","111909","82947","220089","14159","228566","168605","425676","23630","186555","20.7","19.9","21.5","59.2","375.8","672449","3067","2268","88","24.1","25.3","22.9","31.7","61.8","4.6","1.8","35.9","61.9","1.3","0.9","27.9","61.7","7.7","2.7","76.71","85.07","69.03","27.78","29.87","25.8","2338","114896","72941","41950","3366","1748","3142","120535","60731","27097","1650","708","1387","51561","33908","23420","2551","1164","2217","57966","21512","11308","922","297","1581","399","412","4188","772","1459","361","366","1907","726","62.43","65.07","59.92","70.16","7.08","22.76","66.37","8.01","25.62","74.08","6.12","19.8","1.1","0.88","1.33","130185","7284","6519","670","37890","3233","2937","73519","558","26482","39","111220","25217","708","6344","866","205","98","94024","20987","24688","4416","543","13026","20017","4055","12493","3484","73083","15767","2733","36257","37795","70606","6148.2179","2014-03-28 17:49:21"
"02","Battambang","210853","209702","1025174","506351","518823","86.4","17.64","25.2","4.8","97.6","180856","137416","309004","16491","171431","130182","324157","23235","352287","267598","633161","39726","273618","20","19.3","20.9","61.9","387","1008130","13297","3579","168","24.7","25.9","23.4","34.9","58.4","4.6","2.1","39.4","58.3","1.3","1","30.6","58.5","7.7","3.1","78.88","85.9","72.31","28.89","30.71","27.14","4064","172898","110539","64232","6409","3496","4808","179886","93259","46268","4623","1888","2088","71228","51851","36490","4536","2008","3129","83217","36386","21328","2561","595","2425","657","631","7069","1258","2241","592","649","3132","1110","60.04","62.96","57.23","76.67","4.98","18.35","74.13","6.35","19.52","79.37","3.53","17.1","1.4","1.25","1.55","195040","4907","9023","732","44300","4073","4207","116053","1662","39309","98","174531","26965","860","6186","694","300","166","117528","30049","44804","14900","2421","17822","34261","7666","44675","7370","69435","24606","3867","49013","85374","75315","11871.83201","2014-03-28 17:49:21"
"03","Kampong Cham","369458","368114","1679992","818662","861330","177.3","7.04","25.3","4.5","95","298114","212726","482893","37655","282564","195030","526872","51894","580678","407756","1009765","89549","435517","21.2","19.6","22.9","66.4","404.4","1574097","104057","1714","124","23.7","25","22.4","28.8","63.4","5.3","2.4","33.5","64","1.5","1","24.7","62.9","8.7","3.7","74.47","82.42","67.32","28","30.61","25.56","11389","302481","162769","83204","4890","2715","14299","314864","135044","54630","2741","1099","6858","140593","77708","45721","3691","1869","9978","163589","53964","24799","1780","445","3718","1465","860","4415","1628","4183","1394","1053","3153","1644","62.45","63.24","61.72","83.7","3.77","12.53","81.06","4.46","14.48","86.24","3.11","10.65","1.05","0.99","1.11","339698","3800","22514","2102","52226","5897","7631","127157","1207","173653","343","351814","5383","980","8280","732","726","199","274008","18108","52123","21259","2616","24958","88581","26104","140059","1897","30643","50399","5473","134321","124116","109677","9477.38222","2014-03-28 17:49:21"
"04","Kampong Chhnang","101260","100801","472341","227007","245334","89.2","9.13","23.1","4.6","92.5","86278","61689","132691","8038","83226","57873","148854","13254","169504","119562","281545","21292","122806","20","18.5","21.6","67.8","416.3","447294","19804","1711","3532","24.1","25.3","23.1","32.8","58.6","6.2","2.4","37.2","60.6","1.3","0.9","29","56.9","10.4","3.7","75.54","83.53","68.6","29.2","32.17","26.5","3205","77617","47821","24835","1936","748","3911","86703","40948","16267","954","257","1787","33375","21607","13051","1435","551","2549","43284","15079","7475","545","118","1124","320","319","2211","539","1162","286","323","1161","579","63.11","62.2","63.93","82.4","4.73","12.87","80.53","4.25","15.22","84.05","5.15","10.8","0.72","0.78","0.67","97678","915","1982","226","9205","1229","1715","55085","198","33342","27","93807","5187","343","1242","49","140","33","81892","5906","9267","2764","972","2688","34481","5776","33571","465","19464","1890","2466","35361","36513","28927","5295.14458","2014-03-28 17:49:21"
"05","Kampong Speu","149753","149270","716944","348512","368432","102.9","7.6","23.9","4.8","94.6","133809","95962","202664","12039","128004","86349","221730","18698","261813","182311","424394","30737","186168","19.7","18.2","21.4","68.9","415.4","714718","694","1409","123","23.5","24.5","22.6","30.5","61.9","5.4","2.2","35.5","62.4","1.3","0.8","26","61.4","9.1","3.4","75.52","85.11","66.96","30.52","34.2","27.08","3355","113431","77130","44713","2366","1053","4349","123478","63843","25475","978","377","2030","44076","36859","24605","1711","706","3135","55572","24263","12779","564","165","1703","398","454","3903","768","1636","386","502","1910","633","62.15","59.92","64.23","81.53","8.96","9.52","81.15","5.8","13.05","81.86","11.69","6.45","0.84","0.84","0.84","145838","1075","2075","282","13625","1563","1370","60357","409","71890","56","142715","2964","530","2482","232","292","55","123170","9492","12580","3575","453","7924","38826","10740","20034","830","58713","11391","812","20343","53075","75852","6964.71782","2014-03-28 17:49:21"
"06","Kampong Thom","134546","133878","631409","307724","323685","50.7","5.05","28.2","4.7","95.1","119852","83053","176220","11652","113958","75564","192950","16777","233810","158617","369170","28429","161544","19.8","18.2","21.7","71","440.1","625139","3772","2453","45","23.6","24.8","22.5","29.7","62.4","5.8","2.2","34.8","62.8","1.4","0.9","25","61.9","9.7","3.3","67.78","75.75","60.65","29.19","31.53","27","4215","105903","51717","27601","2460","882","4003","106856","44539","19430","1486","356","1976","46081","23023","14231","1959","667","2727","51320","16565","8665","971","184","1394","582","346","2284","529","1396","446","382","1305","524","61.65","61.89","61.41","86.35","2.49","11.15","84.08","3.32","12.6","88.49","1.72","9.79","1.23","1.28","1.18","128838","1265","3368","407","12270","1128","2620","73449","260","42837","1314","126184","5370","427","1439","141","261","56","96648","5718","12021","17761","1730","5573","13234","11281","80202","625","19860","609","2494","51437","44294","38147","12445.772482","2014-03-28 17:49:21"
"07","Kampot","130084","129646","585850","284123","301727","124.1","8.24","23.5","4.5","94.2","106687","77299","166821","10615","101195","71755","183673","16859","207882","149054","350494","27474","153500","20.2","18.7","21.9","67.1","385.6","568814","15695","1193","148","23.4","24.4","22.4","29.1","63","5.5","2.3","33.7","64","1.3","0.9","25.1","62.2","9.2","3.6","76.9","85.5","69.29","30.86","34.2","27.76","2854","92570","63803","38427","4298","1350","4462","100398","55067","25685","2313","407","1775","39460","29056","19342","3138","985","3373","49253","20728","10875","1343","186","1146","334","349","2580","621","1198","319","366","1515","573","62.68","61.45","63.81","86.08","2.69","11.23","82.42","3.56","14.02","89.35","1.91","8.74","1.37","1.33","1.41","126305","1057","2052","232","14047","1600","1044","70191","353","42353","58","118032","8353","570","2275","202","181","33","95700","8410","12771","12050","715","10262","13106","6790","38461","1089","55657","3533","748","28445","41158","60043","4719.41325","2014-03-28 17:49:21"
"08","Kandal","258393","255029","1265280","612692","652588","355.2","15.48","22.7","4.9","93.9","203522","158480","383122","26048","191215","148468","422937","38436","394737","306948","806059","64484","353652","21.8","20.5","23.1","57","343.8","1240337","15334","8390","1219","25","26.2","24","35.3","57.4","5.1","2.3","39.1","58.5","1.4","1","31.9","56.3","8.3","3.5","83.11","89.15","77.75","27.83","31.34","24.58","12035","182180","147453","105084","9923","6222","14891","218471","141762","69292","5091","2492","6667","79111","72481","57674","6844","3889","10218","115794","59810","32842","2779","1000","2648","856","607","3479","1188","2961","764","747","2114","994","62.37","63.11","61.69","61.61","19.16","19.23","62.37","14.59","23.04","60.9","23.46","15.64","1.91","2.01","1.82","239450","5375","9462","742","69162","7926","17527","37730","694","121850","140","224483","12683","691","15382","1114","605","71","138353","34340","65536","15219","1581","35546","52371","9470","13476","2036","95200","45514","1416","73349","102737","78943","3561.951","2014-03-28 17:49:21"
"23","Kep","7236","7193","35753","17674","18079","234.5","13.08","19.7","4.9","97.8","6900","4972","10248","526","6420","4612","10750","909","13320","9584","20998","1435","9161","19.1","17.9","20.2","70.3","415.1","35295","445","12","1","23.4","24.5","22.4","31.4","60.7","5.3","2.7","36.2","61.4","1.1","1.3","27","60","9.2","3.9","72.82","81.85","64.47","32.02","34.51","29.62","101","5976","3646","1986","281","87","167","6017","3030","1282","122","30","64","2349","1561","990","191","60","110","2628","985","470","60","11","90","17","13","221","50","59","14","24","137","36","62.14","62.32","61.97","78.99","4.43","16.58","74.27","6.09","19.64","83.55","2.83","13.62","0.39","0.37","0.42","6705","53","330","105","1031","203","166","4611","26","1156","0","6750","196","46","134","62","3","2","5319","710","856","157","151","24","674","596","2736","211","2693","251","8","1109","2257","3827","152.4773","2014-03-28 17:49:21"
"09","Koh Kong","24311","24166","117481","59327","58154","10.6","30.69","31.6","4.8","102","21825","15381","36198","1304","20838","14674","35363","1953","42663","30055","71561","3257","30633","19.6","19.3","20","64.2","425.1","111790","5440","194","57","23.9","25.6","22.2","31.2","63.2","3.7","1.8","36.7","61.6","0.8","1","25.7","64.9","6.6","2.7","75.16","83.53","66.75","28.61","30.01","27.19","1398","20723","10837","6895","764","305","1878","19905","8588","3695","240","76","981","8190","5432","4200","582","252","1411","7927","3341","1828","142","39","138","42","42","303","64","150","31","36","153","26","55.63","63.04","48.12","63.65","6.82","29.53","62.52","8.61","28.87","65.19","4.38","30.43","3.12","2.12","4.45","20973","1881","1226","86","9677","1186","815","10354","202","1883","49","12964","7859","146","2944","201","31","21","14833","3165","4461","714","993","4332","1113","2673","9258","238","1475","4990","87","7230","7157","9779","11043.5322","2014-03-28 17:49:21"
