"old_shape_id","map_id","developer","adjustment_classification","dev_nationality","dev_address","intended_purpose","inv_intention","contract_duration_years","original_size_hectare","size_reference","contracting_authority","director","director_nationality","contract_date","sub_decree_granting_date","province","district","commune","municipality","land_conv","legal_documents","land_utilization_plan","eia_status","data_classification","reference","last_update","language","published_status"
"515","elc_gdp_401","An Mady Group Co. Ltd.","Downsized","Cambodian","Phum Tonle Beut Leu, Khum Tonle Beut, Srok Tboung Khmum, Kampong Cham province.","Agro-industry","Not found","99","3610","Not found","Not found","An Mady","Cambodian","Not found","Not found","Svay Rieng","Romeas Hek","Kokor","Not found","Not found","","","Not found","Government data partial","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/MOC_An_Mardy__15.10.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Svay-Rieng-Province_eng_CIB__21.10.2014.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/MOC_An_Mardy__15.10.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Svay-Rieng-Province_eng_CIB__21.10.2014.pdf;</ul>","2015-10-05 00:00:00","English","1"
"410","elc_gdp_74","Chhun Lim Group Co. Ltd.","Downsized","Not found","092, Group 14, Phum Krours, Sangkat Svay Dangkom, Siem Reap Province","Agro-industry","Unspecified crops","0","3000","Not found","Not found","Hooi Siew Yan","Not found","Not found","40855","Banteay Meanchey","Thma Puok","Not found","Not found","Banteay Chmar Protected Landscape","Not found","Not found","Not found","Government data partial","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Chhun_Lim_Group_Co._Ltd.__10.06.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_282__13.12.2011.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_257__08.11.2011.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Chhun_Lim_Group_Co._Ltd.__10.06.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_282__13.12.2011.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_257__08.11.2011.pdf;</ul>","2015-10-05 00:00:00","English","1"
"505","elc_gdp_154","Dong Nai Kratie Aphivath Caoutchouc Co. Ltd.","Downsized","Vietnamese","Not found","Agro-industry","Rubber","0","7090","MAFF","MAFF","Huynh Van Tu","Vietnamese","2008-07-04","Not found","Kratie","Sambor","Not found","Not found","Not found","Not found","Not found","Not found","Government data partial","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Dong_Nay_Kratie_Aphivath_Caoutchouch_in_MAFF_Statistic__08.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Kratie_Province_09.06.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/GlobalWitness_RubberBarons__2013.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/http://bit.ly/1u3eiNH;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Dong_Nay_Kratie_Aphivath_Caoutchouch_in_MAFF_Statistic__08.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Kratie_Province_09.06.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/GlobalWitness_RubberBarons__2013.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/http://bit.ly/1u3eiNH;</ul>","2015-10-05 00:00:00","English","1"
"460","elc_gdp_156","Dong Phu Kratie Aphivath Caoutchouc Co. Ltd.","Downsized","Vietnamese","Not found","Agro-industry","Rubber","0","9194","MAFF","MAFF","Huynh Van Tu","Vietnamese","2008-07-04","Not found","Kratie","Sambor","Roluos Meanchey","Not found","Not found","Not found","Not found","Not found","Government data partial","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Dong_Pho_Kratie_Aphivath_Caoutchouch_in_MAFF_Statistic__08.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Kratie_Province_09.06.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/GlobalWitness_RubberBarons__2013.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Dong_Pho_Kratie_Aphivath_Caoutchouch_in_MAFF_Statistic__08.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Kratie_Province_09.06.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/GlobalWitness_RubberBarons__2013.pdf;</ul>","2015-10-05 00:00:00","English","1"
"470","elc_gdp_87","Excel Castor Plantation Co. Ltd.","Downsized","Not found","2 Butter Worth Lane # 16-01 Salangor, Singapore, Malaysia","Agro-industry","Rubber;Other crops","0","7472","Not found","Not found","Hooi Siew Yan","Malaysian","2011-12-13","40855","Siem Reap","Not found","Not found","Not found","Kulen Promtep Wildlife Sanctuary","Not found","Not found","Not found","Government data partial","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Excel_Castor_Plantation_Co_Ltd__11.06.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_283__13.12.2011.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_258__08.11.2011.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Excel_Castor_Plantation_Co_Ltd__11.06.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_283__13.12.2011.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_258__08.11.2011.pdf;</ul>","2015-10-05 00:00:00","English","1"
"424","elc_gdp_90","Flour Manufacturing Co. Ltd.","Downsized","Cambodian","8Eo St. 230, Sangkat Phsar Daeum Kor, Khan Tuol Kouk, Phnom Penh, Cambodia","Agro-industry","Teak;Cashew;Other crops;Animal husbandry","0","7400","MAFF","MAFF","Keo Vuthy","Cambodian","1999-09-13","Not found","Stung Treng","Stung Treng","Not found","Not found","Not found","Not found","Not found","Not found","Government data partial","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Flour_Manufacturing_Amendment_13.06.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Flour_Manufacturing_Co_Ltd_in_MAFF_Statistic__08.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Flour_Manufacturing_Co.Ltd__13.09.1999.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Flour_Manufacturing_Amendment_13.06.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Flour_Manufacturing_Co_Ltd_in_MAFF_Statistic__08.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Flour_Manufacturing_Co.Ltd__13.09.1999.pdf;</ul>","2015-10-05 00:00:00","English","1"
"406","elc_gdp_70","Jing Zhong Ri Co. Ltd.","Downsized","Not found","25 St.574, Sangkat Boeung Kak 2, Khan Tuol Kork, Phnom Penh","Agro-industry","Rubber","0","9224","Not found","Not found","Li Qing Xian","Not found","Not found","40746","Ratanakiri","Lumphat","Not found","Not found","Lumphat Wildlife Sanctuary","Not found","Not found","Not found","Government data partial","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Jing_Zhong_Ri_Co._Ltd.__10.06.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_162__22.07.2011.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_98__30.05.2011.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Jing_Zhong_Ri_Co._Ltd.__10.06.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_162__22.07.2011.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_98__30.05.2011.pdf;</ul>","2015-10-05 00:00:00","English","1"
"416","elc_gdp_80","K Peace Investment (Cambodia) Co. Ltd.","Downsized","Not found","20B St.280, Sangkat Boeung Keng Kang 2, Khan Chamcarmorn, Phnom Penh","Agro-industry","Rubber;Other crops","0","500","Not found","Not found","Ly Seng Kheang","Cambodian","Not found","40960","Mondulkiri","Not found","Not found","Not found","Phnom Namlear Wildlife Sanctuary","Not found","Not found","Not found","Government data partial","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/K_Peace_Establishment_11.06.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_28__21.02.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_13__20.01.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_85__20.05.2011.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/K_Peace_Establishment_11.06.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_28__21.02.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_13__20.01.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_85__20.05.2011.pdf;</ul>","2015-10-05 00:00:00","English","1"
"461","elc_gdp_158","Varanasi (previously Khaou Chuly Development Co. Ltd.)","Downsized","French;Cambodian","Not found","Agro-industry","Rubber","0","2346","MAFF","MAFF","Not found","Not found","2008-10-08","Not found","Mondulkiri","Pech Chreada","Not found","Not found","Not found","Not found","Not found","Not found","Government data partial","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/FIDH_Report_Cambodia_SOCFIN_KCD_MAFF__00.10.2011.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/FIDH_Report_Cambodia_SOCFIN_KCD_MAFF__00.10.2011.pdf;</ul>","2015-10-05 00:00:00","English","1"
"415","elc_gdp_79","Master K Son Co. Ltd.","Downsized","Not found","1937 St.210, Phum Ta Khmao, Krong Ta Khmao, Kandal Province","Agro-industry","Rubber;Wildlife protection;Sustainable wildlife hunting;Eco-tourism","0","6892","Not found","Not found","Seng Socheata","Cambodian","Not found","40984","Mondulkiri","Not found","Not found","Not found","Phnom Prich Wildlife Sanctuary","Not found","Not found","Not found","Government data partial","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Master_K_Sun_Establishment_13.06.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_46__16.03.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_12__20.01.2012.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Master_K_Sun_Establishment_13.06.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_46__16.03.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_12__20.01.2012.pdf;</ul>","2015-10-05 00:00:00","English","1"
