"old_shape_id","map_id","developer","adjustment_classification","dev_nationality","dev_address","intended_purpose","inv_intention","contract_duration_years","original_size_hectare","size_reference","contracting_authority","director","director_nationality","contract_date","sub_decree_granting_date","province","district","commune","municipality","land_conv","legal_documents","land_utilization_plan","eia_status","data_classification","reference","last_update","language","published_status"
"159","elc_gdc_230","(Cambodia) Research Mining and Development","Downsized","Cambodian","44E0E1 St. 440, Sangkat Tuek L'ak, Khan Chamkar Mon, Phnom Penh, Cambodia","Agro-industry","Rubber;Acacia","70","7200","MAFF","MAFF","Zhang Yi","Chinese","2009-10-12","Not found","Stung Treng","Sesan","Not found","Not found","Not found","<ul> <li>Proposal by company dated 27 March 2008</li> <li>Result of study on the proposed site dated 29 May 2008.</li> <li>Letter No. 899 SCN dated 27 June 2008 by Council Minister</li> <li>Letter No. 57 SBT dated 16 June 2009 by Royal Government of Cambodia on the full power delegation to Minister of Ministry of Agriculture, Forestry, and Forestry to sign the contract with company.</span></li> <li>Signed the contract on 12 October 2009 with Ministry of Agriculture, Forestry, and Fisheries</li> </ul>
","Included in master plan","Not found","Government data complete","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_Research_Mining_and_Development_in_MAFF_Statistic__08.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_Research_Mining_Development__21.06.2011.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_Research_Mining_and_Development__10.06.2014.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_Research_Mining_and_Development_in_MAFF_Statistic__08.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_Research_Mining_Development__21.06.2011.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_Research_Mining_and_Development__10.06.2014.pdf;</ul>","2015-10-05 00:00:00","English","1"
"162","elc_gdc_233","Am Phal Focus (Cambodia)","Downsized","Not found","Not found","Agro-industry","Rubber","0","8000","Not found","Not found","Not found","Not found","Not found","40963","Preah Vihear","Sangkum Thmei","Not found","Not found","Not found","Not found","Not found","Not found","Government data complete","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_32__24.02.2012.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_32__24.02.2012.pdf;</ul>","2015-10-05 00:00:00","English","1"
"158","elc_gdc_229","Best Royal (K) Co. Ltd.","Downsized","Not found","Trapaing Srer village, 2 Thnou commune, Snoul district, Kratie province, Cambodia","Agro-industry","Rubber;Other crops","70","6500","Not found","Not found","
Tran Thai Ninh","Vietnamese","Not found","40926","Oddar Meanchey;Preah Vihear","Not found","Not found","Not found","Kulen Promtep Wildlife Sanctuary","Not found","Not found","Not found","Government data complete","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_07__18.01.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_263__23.11.2011.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Office_Of_the_Concil_of_ministers_No_1388__03.11.2011.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Best_Royal_K_Co_Ltd__10.06.2014.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_07__18.01.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_263__23.11.2011.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Office_Of_the_Concil_of_ministers_No_1388__03.11.2011.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Best_Royal_K_Co_Ltd__10.06.2014.pdf;</ul>","2015-10-05 00:00:00","English","1"
"84","elc_gdc_116","BNA (Cam) Corp","Downsized","Korean","80A St. 118, Sangkat Tuek L'ak 1, Khan Tuol Kouk, Phnom Penh, Cambodia","Agro-industry","Rubber;Cassava","70","7500","MAFF","MAFF","Back Byung Kun","Korean","2009-09-25","Not found","Kampong Thom","Santuk","Not found","Not found","Not found","Not found","Not found","Not found","Government data complete","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/BNA_Cam_Corp_in_MAFF_Statistic__08.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/BNA_Cam__21.06.2011.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/BNA_Cam_Corp_in_MAFF_Statistic__08.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/BNA_Cam__21.06.2011.pdf;</ul>","2015-10-05 00:00:00","English","1"
"54","elc_gdc_82","Camtree Corporation","Downsized","Israeli","9 St. 388, Sangkat Tuol Svay Prey 1, Khan Chamkar Mon, Phnom Penh, Cambodia","Agro-industry","Acacia","70","2409","MAFF","MAFF","Nir Bengal","Israeli","2010-05-05","Not found","Kampot","Chhouk","Ta Ken","Not found","Not found","<ul> <li>Application for investment dated 20 April 2008.</li> <li>Result of study and identification of boundary and the area that concerned with the people in land concession area, dated 11 November 2009.</li> <li>Letter No. 1177 SCN dated 27 August 2009 by Council Minister</li> <li>Letter No. 33 SBT dated 10 March 2010 by Royal Government of Cambodia on the full power delegation to Minister of Ministry of Agriculture, Forestry, and Forestry to sign the contract with company.</li> <li>Signed the contract on 05 May 2010 with Ministry of Agriculture, Forestry, and Fisheries</li> </ul>
","Not found","Not found","Government data complete","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cam_Try_Cooperation_in_MAFF_Statistic__08.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cam_Try_Cooperation__21.06.2011.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/screengrab_camagra_investment_EN__20.07.2015.png;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cam_Try_Cooperation_in_MAFF_Statistic__08.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cam_Try_Cooperation__21.06.2011.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/screengrab_camagra_investment_EN__20.07.2015.png;</ul>","2015-10-05 00:00:00","English","1"
"140","elc_gdc_210","Caoutchouc Mekong Co. Ltd. (Tan Bien)","Downsized","Not found","Not found","Agro-industry","Rubber","0","7541","Not found","Not found","Not found","Not found","Not found","40304","Kampong Thom","Prasat Ballang","Not found","Not found","Beng Per Wildlife Sanctuary","Not found","Not found","Not found","Government data complete","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_216__30.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_46__06.05.2010.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Rubber_Barons_Lores__09.06.2014.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_216__30.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_46__06.05.2010.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Rubber_Barons_Lores__09.06.2014.pdf;</ul>","2015-10-05 00:00:00","English","1"
"56","elc_gdc_84","CCV Co. Ltd.","Downsized","Cambodian","33F St.5, Sangkat Svay Pak, Khan Ruessei Kaev, Phnom Penh, Cambodia","Agro-industry","Acacia","70","5730","MAFF","MAFF","Seng Meng","Cambodian","2010-05-05","Not found","Kampong Thom","Santuk","Not found","Not found","Not found","<ul> <li>Application for investment dated 05 January 2007</li> <li>Minute of study and identification of boundary and the area that concerned with the people in land concession area, dated 06 May 2009<br> </li> <li>Letter No. 715 SCN dated 27 May 2008 by Council Minister <br> </li> <li>Letter No.01 SBT dated 05 January 2010 by Royal Government on the full power delegation to Minister of Ministry of Agriculture, Forestry, and Forestry to sign the contract with company</li> <li>Signed the contract on 05 May 2010 with Ministry of Agriculture, Forestry, and Fisheries</li> </ul>
","Included in master plan","Not found","Government data complete","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/CCV_in_MAFF_Statistic__08.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/CCV__21.06.2011.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/CCV_in_MAFF_Statistic__08.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/CCV__21.06.2011.pdf;</ul>","2015-10-05 00:00:00","English","1"
"98","elc_gdc_158","Chan Sophea Aphivath Co. Ltd.","Downsized","Not found","105 St.138, Sangkat Phsar Depo 2, Khan Tourl Kork, Phnom Penh","Agro-industry","Rubber","0","5088","MEF","MEF","Mao Chan Sophea","Not found","2011-01-03","Not found","Kratie","Chhlong","Damrei Phong;Kampong Damrei","Not found","Not found","Not found","Not found","Not found","Government data complete","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Chan_Sophea_Development__04.06.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/‏Sub_Decree_No_265__24.12.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Chan_Sophea_Development_in_MAFF_Statistic__08.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_175__30.12.2010.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Chan_Sophea_Development__04.06.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/‏Sub_Decree_No_265__24.12.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Chan_Sophea_Development_in_MAFF_Statistic__08.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_175__30.12.2010.pdf;</ul>","2015-10-05 00:00:00","English","1"
"48","elc_gdc_70","Chea Chanrith Aphivath","Downsized","Not found","Not found","Agro-industry","Rubber","0","5124","MAFF","MAFF","Nguyen Canh Quang","Not found","2007-11-12","Not found","Ratanakiri","Bar Keo;O'Ya Dav","Not found","Not found","Not found","Not found","Not found","Not found","Government data partial","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Chea_Chanrith_Aphivath_in_MAFF_Statistic__08.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Chea_Chanrith_Aphivath_and_MOC_amendment_No_1__23.4.2012.png;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Chea_Chanrith_Aphivath_in_MAFF_Statistic__08.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Chea_Chanrith_Aphivath_and_MOC_amendment_No_1__23.4.2012.png;</ul>","2015-10-05 00:00:00","English","1"
"164","elc_gdc_235","China Great Cause (Cambodia) Investment","Downsized","Not found","Not found","Agro-industry","Rubber","0","5980","MEF","MEF","Feng Yu","Not found","2012-06-06","40963","Preah Vihear","Rovieng;Sangkum Thmei","Not found","Not found","Not found","Not found","Not found","Not found","Government data complete","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/China_Great_Cause_in_MAFF_Statistic__08.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_30__24.02.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/China_Great_Cause_and_MOC_amendment_No_1__10.6.2014.png;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/China_Great_Cause_in_MAFF_Statistic__08.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_30__24.02.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/China_Great_Cause_and_MOC_amendment_No_1__10.6.2014.png;</ul>","2015-10-05 00:00:00","English","1"
"82","elc_gdc_112","CIV Development Agro Industry","Downsized","Not found","Not found","Agro-industry","Not found","0","740","Not found","Not found","Not found","Not found","2008-05-27","Not found","Kratie","Snuol","Pi Thnu;Sre Char","Not found","Not found","Not found","Not found","Not found","Government data complete","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/CIV_Development_Map.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/CIV_Development_Map.pdf;</ul>","2015-10-05 00:00:00","English","1"
"116","elc_gdc_177","CRCK Aphivath Caoutchouc Co. Ltd.","Downsized","Not found","Not found","Agro-industry","Rubber","0","7289","Not found","Not found","Not found","Not found","Not found","40186","Kampong Thom","Stoung","Not found","Not found","Beng Per Wildlife Sanctuary","Not found","Not found","[2010] Feasibility study","Government data complete","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/List_of_EIAs_NGOF__09.11.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/List_of_EIAs_received_by_NGOF_September_2013.xlsx;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_441__21.06.2013.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_422__18.06.2013.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_04__08.01.2010.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/List_of_EIAs_NGOF__09.11.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/List_of_EIAs_received_by_NGOF_September_2013.xlsx;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_441__21.06.2013.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_422__18.06.2013.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_04__08.01.2010.pdf;</ul>","2015-10-05 00:00:00","English","1"
"139","elc_gdc_209","CRD Co. Ltd.","Downsized","Vietnamese","1Q St.291, Sangkat Boeung Kak 1, Khan Toul Kork, Phnom Penh","Agro-industry","Rubber","0","7591","MEF","MEF","Nguyen Van Minh","Vietnamese","2011-03-25","40549","Ratanakiri","Andoung Meas;Bar Keo;O'Chum","Not found","Not found","Not found","Not found","Not found","Not found","Government data complete","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/C_R_D_Co_Ltd_Establishment_13.06.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/C_R_D_Co_Ltd_Amendment_13.06.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/C_R_D_Co_Ltd_Amendment_2_13.06.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_03__06.01.2011.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/C_R_D_Co_Ltd_Establishment_13.06.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/C_R_D_Co_Ltd_Amendment_13.06.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/C_R_D_Co_Ltd_Amendment_2_13.06.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_03__06.01.2011.pdf;</ul>","2015-10-05 00:00:00","English","1"
"83","elc_gdc_115","Dak Lak Mondulkiri Aphivath Caoutchouch","Downsized","Not found","Not found","Agro-industry","Rubber","0","4162","MAFF","MAFF","Not found","Not found","2008-07-04","Not found","Mondulkiri","Pech Chreada;O'Reang;Koh Nhek","Not found","Not found","Not found","Not found","Not found","Not found","Government data partial","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Dak_Lak_Mondulkiri_Aphivath_Caoutchouch_in_MAFF_Statistic__08.06.2012.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Dak_Lak_Mondulkiri_Aphivath_Caoutchouch_in_MAFF_Statistic__08.06.2012.pdf;</ul>","2015-10-05 00:00:00","English","1"
"155","elc_gdc_226","Data Rubber (Cambodia) Co. Ltd.","Downsized","Thai","15A St.456, Sangkat Toul Tompoung 1, Khan Chamkarmorn, Phnom Penh, Cambodia","Agro-industry","Unspecified crops","70","7700","Not found","Not found","Kitttrol Luckchai","Thai","Not found","40746","Oddar Meanchey","Anlong Veng","Not found","Not found","Kulen Promtep Wildlife Sanctuary","Not found","Not found","[2011] Feasibility study","Government data complete","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_168__22.07.2011.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_112__14.06.2011.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Office_Of_the_Concil_of_ministers_No_662__06.06.2011.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Data_Rubber_Cambodia_Co_Ltd__10.06.2014.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_168__22.07.2011.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_112__14.06.2011.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Office_Of_the_Concil_of_ministers_No_662__06.06.2011.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Data_Rubber_Cambodia_Co_Ltd__10.06.2014.pdf;</ul>","2015-10-05 00:00:00","English","1"
