"old_shape_id","map_id","developer","adjustment_classification","dev_nationality","dev_address","intended_purpose","inv_intention","contract_duration_years","original_size_hectare","size_reference","contracting_authority","director","director_nationality","contract_date","sub_decree_granting_date","province","district","commune","municipality","land_conv","legal_documents","land_utilization_plan","eia_status","data_classification","reference","last_update","language","published_status"
"501","elc_od_412","Ba Ria – Kampong Thom Rubber Development Project","No evidence of adjustment","Vietnamese","Not found","Not found","Not found","0","4879","Not found","Not found","Not found","Not found","Not found","Not found","Kampong Thom","Not found","Not found","Not found","Not found","","","Not found","Other data","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Rubber_Barons_Lores__09.06.2014.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Rubber_Barons_Lores__09.06.2014.pdf;</ul>","2015-10-05 00:00:00","English","1"
"423","elc_gdp_88","Cambo Victor Investment and Developing Co. Ltd.","No evidence of adjustment","Chinese","252 St. 143, Sangkat Boeung Keng Kang 3, Khan Chamkar Mon, Phnom Penh, Cambodia","Agro-industry","Peanut;Rice;Corn;Soybean;Other crops;Animal husbandry","0","26550","Not found","Not found","Wang Shen Ming","Chinese","2001-08-13","Not found","Kampong Speu","Phnom Sruoch","Not found","Not found","Not found","Not found","Not found","Not found","Government data partial","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_Victor_Investing_and_Developing_Co.Ltd__13.08.2001.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_Victor_Investing_and_Developing_Co.Ltd__13.08.2001.pdf;</ul>","2015-10-05 00:00:00","English","1"
"419","elc_gdp_83","Cambodia Blue Haven Ltd.","No evidence of adjustment","Not found","132 St.271, Sangkat Boeung Salang, Khan Tuol Kork, Phnom Penh","Agro-industry","Rubber;Other crops","0","9129","Not found","Not found","Lim Hock Boon","Not found","Not found","41067","Preah Vihear","Not found","Not found","Not found","Kulen Promtep Wildlife Sanctuary","Not found","Not found","[2012] Feasibility study","Government data partial","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/List_of_EIAs_NGOF__09.11.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/List_of_EIAs_received_by_NGOF_September_2013.xlsx;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodian_Blue_Haven_Ltd_Amendment_13.06.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodian_Blue_Haven_Ltd_Establishment_10.06.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_82__07.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_40__13.03.2012.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/List_of_EIAs_NGOF__09.11.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/List_of_EIAs_received_by_NGOF_September_2013.xlsx;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodian_Blue_Haven_Ltd_Amendment_13.06.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodian_Blue_Haven_Ltd_Establishment_10.06.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_82__07.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_40__13.03.2012.pdf;</ul>","2015-10-05 00:00:00","English","1"
"427","elc_gdp_114","Cambodia Eversky Agricultural Development And Investment Co. Ltd.","No evidence of adjustment","Cambodian","756, National Road 2, Sangkat Chak Angrae Kraom, Khan Mean Chey, Phnom Penh, Cambodia","Agro-industry; Processing factory","Processing plant","0","10000","Not found","Not found","Tang Kamsan","Cambodian","1998-12-03","Not found","Kampong Thom","Santuk","Not found","Not found","Not found","Not found","Not found","Not found","Government data partial","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_Eversky_Agricultural_Development_And_Investment__03.12.1998.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_Eversky_Agricultural_Development_And_Investment__03.12.1998.pdf;</ul>","2015-10-05 00:00:00","English","1"
"428","elc_gdp_115","Chamroeun Rung Roeung Peanich Co. Ltd.","No evidence of adjustment","Not found","Not found","Agro-industry","Rice","0","1064","Not found","Not found","Not found","Not found","Not found","Not found","Kampong Thom","Santuk","Phnov;Kakoh","Not found","Veal Krom","Not found","Not found","Not found","Government data partial","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/MAFF_No_3140_310__17.06.2008.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/MAFF_No_3140_310__17.06.2008.pdf;</ul>","2015-10-05 00:00:00","English","1"
"463","elc_gdp_160","China Dynamic Investment","No evidence of adjustment","Not found","Not found","Agro-industry","Rubber;Acacia","0","6600","MAFF","MAFF","Wang Zhu Qing","Not found","2010-01-29","Not found","Kratie","Sambor","Roluos Meanchey;Sre Chis","Not found","Not found","Not found","Not found","Not found","Government data partial","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/China_Dynamic_Investment_in_MAFF_Statistic__08.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/China_Dynamic_Investment_MOC_amendment_No_6__21.10.2013.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/China_Dynamic_Investment_in_MAFF_Statistic__08.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/China_Dynamic_Investment_MOC_amendment_No_6__21.10.2013.pdf;</ul>","2015-10-05 00:00:00","English","1"
"429","elc_gdp_116","Ching Kor Import Export Co. Ltd.","No evidence of adjustment","Not found","Not found","Agro-industry","Rice","0","1091","Not found","Not found","Not found","Not found","Not found","Not found","Kampong Thom","Santuk","Phnov;Kakoh","Not found","Veal Krom","Not found","Not found","Not found","Government data partial","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/MAFF_No_3138_308__17.06.2008.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/MAFF_No_3138_308__17.06.2008.pdf;</ul>","2015-10-05 00:00:00","English","1"
"503","elc_od_410","Chu Prong – Stung Treng Rubber Project (Binh Phuoc)","No evidence of adjustment","Vietnamese","Not found","Not found","Not found","0","8926","Not found","Not found","Not found","Not found","Not found","Not found","Mondulkiri","Keo Seima","Not found","Not found","Not found","Not found","Not found","Not found","Other data","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Rubber_Barons_Lores__09.06.2014.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Rubber_Barons_Lores__09.06.2014.pdf;</ul>","2015-10-05 00:00:00","English","1"
"504","elc_od_413","Chu Prong K Co. Ltd","No evidence of adjustment","Vietnamese","Not found","Not found","Not found","0","Not found","Not found","Not found","Not found","Not found","Not found","Not found","Ratanakiri","Veun Sai","Not found","Not found","Not found","Not found","Not found","Not found","Other data","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Rubber_Barons_Lores__09.06.2014.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Rubber_Barons_Lores__09.06.2014.pdf;</ul>","2015-10-05 00:00:00","English","1"
"465","elc_gdp_163","Dai Dong Yoeun Commercial Joint-stock Company","No evidence of adjustment","Not found","Not found","Agro-industry","Unspecified crops;Animal husbandry;Processing plant","0","4889","MAFF","MAFF","Not found","Not found","2010-01-29","Not found","Ratanakiri","O'Ya Dav","Not found","Not found","Not found","Not found","Not found","Not found","Government data partial","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Day_Dong_Yearng_Commercial_Joint_Stock_Company_in_MAFF_Statistic__08.06.2012.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Day_Dong_Yearng_Commercial_Joint_Stock_Company_in_MAFF_Statistic__08.06.2012.pdf;</ul>","2015-10-05 00:00:00","English","1"
