"old_shape_id","map_id","developer","adjustment_classification","dev_nationality","dev_address","intended_purpose","inv_intention","contract_duration_years","original_size_hectare","size_reference","contracting_authority","director","director_nationality","contract_date","sub_decree_granting_date","province","district","commune","municipality","land_conv","legal_documents","land_utilization_plan","eia_status","data_classification","reference","last_update","language","published_status"
"502","elc_gdp_406","Blue Metro Co. Ltd.","Revoked","Not found","106 St.432, Sangkat Tourl Tompoung 2, Khan Chamcarmorn, Phnom Penh","Agro-industry","Not found","0","350","Not found","Not found","Lee Heong Sik, Director","Not found","Not found","Not found","Preah Sihanouk","Not found","Not found","Not found","Ream National Park","Not found","Not found","Not found","Government data partial","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/MOC_Blue_Metro__15.10.2014.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/MOC_Blue_Metro__15.10.2014.pdf;</ul>","2015-10-05 00:00:00","English","1"
"404","elc_gdp_65","BSC Import Export Co. Ltd.","Revoked","Cambodian","233, Mao Tse Toung Boulevard, Sangkat Tourl Svay Prey 1, Khan Chamkar Mon Phnom Penh, Cambodia","Agro-industry","Unspecified crops","70","4557","Not found","Not found","Phat Bun","Cambodian","Not found","41072","Battambang","Kamrieng;Phnom Proek","Not found","Not found","Roniem Daun Sam Wildlife Sanctuary","Not found","Not found","Not found","Government data partial","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_90__12.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/BSC_Import_Export_Co_Ltd__11.06.2014.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_90__12.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/BSC_Import_Export_Co_Ltd__11.06.2014.pdf;</ul>","2015-10-05 00:00:00","English","1"
"471","elc_gdp_53","BVB (Cambodia) Agriculture Development Co. Ltd.","Revoked","Not found","92 Sahakpaon Russian Blvd, Sangkat Toeuk Lahork 1, Khan Tourl Kork, Phnom Penh, Cambodia","Agro-industry","Rubber;Other crops","70","3134","Not found","Not found","Dourng Vibol","Cambodian","Not found","40928","Siem Reap","Not found","Not found","Not found","Kulen Promtep Wildlife Sanctuary","Not found","Not found","Not found","Government data partial","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_14__20.01.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Bvb_Cambodia_Agriculture_Development_Co_Ltd__11.06.2014.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_14__20.01.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Bvb_Cambodia_Agriculture_Development_Co_Ltd__11.06.2014.pdf;</ul>","2015-10-05 00:00:00","English","1"
"408","elc_gdp_72","Investment and Development Dai Nam (Cambodia) JSC Ltd.","Revoked","Not found","53 St.317, Sangkat Boeung Kak 2, Khan Toul Kork, Phnom Penh","Agro-industry","Unspecified crops","0","8685","Not found","Not found","Liu Erli","Not found","Not found","40693","Mondulkiri","Keo Seima;Pech Chreada","Not found","Not found","Phnom Prich Wildlife Sanctuary","Not found","Not found","Not found","Government data partial","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Investment_and_Development_Dai_Nam_(Cambodia)_J.S.C_Ltd.__10.06.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_165__22.07.2011.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_98__30.05.2011.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Investment_and_Development_Dai_Nam_(Cambodia)_J.S.C_Ltd.__10.06.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_165__22.07.2011.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_98__30.05.2011.pdf;</ul>","2015-10-05 00:00:00","English","1"
"417","elc_gdp_81","Jian King (Cambodia) International Investment Co. Ltd.","Revoked","Chinese","235 St.19, Sangkat Chak Tomuk, Khan Daun Penh, Phnom Penh","Agro-industry; Processing factory","Pine;Processing plant","0","8568","Not found","Not found","Lei Yong Fei","Cambodian","Not found","40984","Kampong Speu;Preah Sihanouk","Not found","Not found","Not found","Kirirom National Park","Not found","Not found","Not found","Government data partial","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Jian_King_Establishment_11.06.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_43__16.03.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_03__04.01.2012.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Jian_King_Establishment_11.06.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_43__16.03.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_03__04.01.2012.pdf;</ul>","2015-10-05 00:00:00","English","1"
"401","elc_gdp_60","Khun Sea Import Export Co. Ltd.","Revoked","Not found","Not found","Agro-industry","Rubber;Other crops","70","8200","Not found","Not found","Not found","Not found","Not found","41096","Oddar Meanchey","Not found","Not found","Not found","Kulen Promtep Wildlife Sanctuary","Not found","Not found","Not found","Government data partial","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Khun_Sea_Import_Export_Co._Ltd._MoC_Ammendement_29.08.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_78__07.06.2012.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Khun_Sea_Import_Export_Co._Ltd._MoC_Ammendement_29.08.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_78__07.06.2012.pdf;</ul>","2015-10-05 00:00:00","English","1"
"402","elc_gdp_63","LKL Construction Co. Ltd.","Revoked","Not found","37 St.105, Sangkat Boeung Prolit, Khan 7 Makara, Phnom Penh","Agro-industry","Unspecified crops","70","5559","Not found","Not found","Ly Leng Kim","Not found","Not found","41074","Mondulkiri","Not found","Not found","Not found","Phnom Namlear Wildlife Sanctuary","Not found","Not found","Not found","Government data partial","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/L_K_L_Construction_Co._Ltd.__11.06.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_91__12.06.2012.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/L_K_L_Construction_Co._Ltd.__11.06.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_91__12.06.2012.pdf;</ul>","2015-10-05 00:00:00","English","1"
"391","elc_gdp_41","Retthy Kiri Seyma Co. Ltd.","Revoked","Not found","Not found","Agro-industry","Rubber;Other crops","0","5000","Not found","Not found","Not found","Not found","Not found","40038","Mondulkiri","Keo Seima","Not found","Not found","Snuol Wildlife Sanctuary","Not found","Not found","Not found","Government data partial","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_128__13.08.2009.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_128__13.08.2009.pdf;</ul>","2015-10-05 00:00:00","English","1"
"510","elc_gdp_404","Sean Heng Investment","Revoked","Not found","63 St.Ekareak, Sangkat 4, Khan Mitta Pheap, Preah Sihanouk Ville","Agro-industry","Not found","0","988","Not found","Not found","Sean Chhun Heng","Not found","Not found","Not found","Preah Sihanouk","Not found","Not found","Not found","Ream National Park","Not found","Not found","Not found","Government data partial","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/MOC_Sean_Heng_Investment__15.10.2014.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/MOC_Sean_Heng_Investment__15.10.2014.pdf;</ul>","2015-10-05 00:00:00","English","1"
"511","elc_gdp_405","Sean Heng Investment","Revoked","Not found","63 St.Ekareak, Sangkat 4, Khan Mitta Pheap, Preah Sihanouk Ville","Agro-industry","Not found","0","350","Not found","Not found","Sean Chhun Heng","Not found","Not found","Not found","Preah Sihanouk","Not found","Not found","Not found","Ream National Park","Not found","Not found","Not found","Government data partial","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/MOC_Sean_Heng_Investment__15.10.2014.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/MOC_Sean_Heng_Investment__15.10.2014.pdf;</ul>","2015-10-05 00:00:00","English","1"
"358","elc_gdp_6","Srey Panha Aphivath Co. Ltd.","Revoked","Not found","41E1, Mao Tse Tung Blvd, Phum9, Sangkat Boeung Keng Kang3, Khan Chamcarmorn, Phnom Penh","Agro-industry","Rubber;Other crops","0","588","Not found","Not found","Lak Srey","Cambodian","Not found","40809","Preah Vihear;Kampong Thom","Not found","Not found","Not found","Beng Per Wildlife Sanctuary","Not found","Not found","Not found","Government data partial","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Srey_Panha_Aphivat_Co_Ltd__11.06.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_217__23.09.2011.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Srey_Panha_Aphivat_Co_Ltd__11.06.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_217__23.09.2011.pdf;</ul>","2015-10-05 00:00:00","English","1"
