"old_shape_id","map_id","developer","adjustment_classification","dev_nationality","dev_address","intended_purpose","inv_intention","contract_duration_years","original_size_hectare","size_reference","contracting_authority","director","director_nationality","contract_date","sub_decree_granting_date","province","district","commune","municipality","land_conv","legal_documents","land_utilization_plan","eia_status","data_classification","reference","last_update","language","published_status"
"53","elc_gdc_81","Agro Forestry Research","Revoked","Chinese","52 St. 294, Sangkat Boeung Keng Kang 1, Khan Chamkar Mon, Phnom Penh, Cambodia","Agro-industry","Rubber;Acacia","70","7000","MAFF","MAFF","Su Jianhua","Chinese","2009-12-08","Not found","Mondulkiri","Pech Chreada;Keo Seima","Pu Chrey;Chong Phlah","Not found","Not found","<ul> <li>Letter no. 004 dated 26 January 2008, by Company.</li> <li>Result on site survey dated 09 June 2008.</li> <li>Letter No. 3297/321 KSK dated 24 June 2008 by Ministry of Agriculture, Forestry and Fisheries, on provision 7,000 hectares of economic land concession located in Chong Plas Commune, Keoseyma District and Pu Chry Commune, Pech Chreada District, Mondulkiri Province.</li> <li>Letter No. 883 SCN dated 25 June 2008 by Council Minister.</li> <li>Letter No. 3649/371 KSK.NP.PK dated 16 July 2008 by Ministry of Agriculture, Forestry, and Forestry on requesting on full power delegation.</li> <li>Letter No. 62 SBT dated 21 July 2008 by Royal Government of Cambodia on the full power delegation to Minister of Ministry of Agriculture, Forestry, and Forestry to sign the contract with company.</li> <li>Signed the contract on 08 December 2009 with Ministry of Agriculture, Forestry, and Fisheries</li> </ul>
","Included in master plan","Not found","Government data complete","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Agro_Forestry_Research__21.06.2011.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Office_Of_Council_Of_Ministers_No_437__08.04.2011.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Agro_Forestry_Research__21.06.2011.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Office_Of_Council_Of_Ministers_No_437__08.04.2011.pdf;</ul>","2015-10-05 00:00:00","English","1"
"17","elc_gdc_22","Cambodia Haining Group Co. Ltd.","Revoked","Not found","46 St. 214, Phnom Penh, Cambodia","Agro-industry","Unspecified crops","70","21250","Not found","Not found","Yang Zhaofu","Not found","1998-07-23","Not found","Kampong Speu","Aoral;Phnom Sruoch","Not found","Not found","Not found","Not found","Not found","Not found","Government data complete","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_Haining_Group_Co.Ltd__23.07.1998.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_Haining_Group_Co.Ltd__23.07.1998.pdf;</ul>","2015-10-05 00:00:00","English","1"
"118","elc_gdc_179","Chan Roth Group","Revoked","Not found","Not found","Agro-industry","Aquafarming;Coastal zone conservation","0","63","Not found","Not found","Not found","Not found","Not found","40596","Koh Kong","Sre Ambel","Chroy Svay","Not found","Dong Peng​ Multiple use area","Not found","Not found","Not found","Government data complete","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_32__22.02.2011.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_32__22.02.2011.pdf;</ul>","2015-10-05 00:00:00","English","1"
"135","elc_gdc_204","Eastern Agro (Cambodia)","Revoked","Not found","Not found","Agro-industry","Rubber;Jatropha","0","7844","Not found","Not found","Not found","Not found","Not found","40771","Kratie","Chet Borei","Thmei;Changkrang","Not found","Not found","Not found","Not found","Not found","Government data complete","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_188__16.08.2011.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_188__16.08.2011.pdf;</ul>","2015-10-05 00:00:00","English","1"
"5","elc_gdc_9","First Biotech Investment (Cambodia) Co. Ltd.","Revoked","Cambodian","50B St. 240, Sangkat Chakto Mukh, Khan Doun Penh, Phnom Penh, Cambodia","Agro-industry","Unspecified crops;Animal husbandry","70","10000","MAFF","MAFF","Chan Sothea","Cambodian","2005-04-21","Not found","Kampot","Chhouk","Not found","Not found","Not found","<ul> <li>Minute of study and evaluation on proposal land concession 10,000 hectares by First Bio-Tech Agricultural (Cambodia) Co. Ltd. In Chhouk District, Kampot Province for investment of corn plantation and construct processing factory, dated 09 November 2004</li> <li>Letter No. 5987/1356 KSK.PPK dated 28 December 2004, Ministry of Agriculture, Forestry and Fisheries, on proposal land concession 10,000 hectares by First Bio-Tech Agricultural (Cambodia) Co. Ltd. In Chhouk District, Kampot Province.</li> <li>Letter No. 15 SCN dated 05 January 2005, Council of Minister.</li> <li>Letter No. 1540 KSK.PPK dated 25 March 2005, Ministry of Agriculture, forestry and Fisheries, on request of right from the Royal Government of Cambodia for signing contract of land concession 10,000 hectares in Chhouk District, Kampot Province.</li> <li>Letter No. 15 SBT dated 30 March 2005, Royal Government of Cambodia.</li> <li>Signed contract with Ministry of Agriculture, Forestry and Fisheries on 21 April 2005.</li> </ul>
","10 years: <ul> <li>year 1: 500 hectars</li> <li>year 2: 650 hectars</li> <li>year 3: 750 hectars</li> <li>year 4: 900 hectars</li> <li>year 5: 1,150 hectars</li> <li>year 6: 1,200 hectars</li> <li>year 7: 1,300 hectars</li> <li>year 8 : 1,500 hectars</li><li>year 9 : 1,500 hectars</li><li>year 10 : 1,000 hectars</li></ul>
","Not found","Government data complete","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_360__13.06.2013.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_281__29.05.2013.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_29__24.01.2013.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/First_Biotech_Investment_Cambodia_Co_Ltd_in_MAFF_Satistic__08.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_259__24.05.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/First_BioTech_Agricultural__21.06.2011.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_360__13.06.2013.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_281__29.05.2013.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_29__24.01.2013.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/First_Biotech_Investment_Cambodia_Co_Ltd_in_MAFF_Satistic__08.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_259__24.05.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/First_BioTech_Agricultural__21.06.2011.pdf;</ul>","2015-10-05 00:00:00","English","1"
"145","elc_gdc_215","Fu Sheng Hai (Cambodia) Co. Ltd.","Revoked","Chinese","15AE0 St.242, Sangkat Chak Tomuk, Khan Daun Penh, Phnom Penh, Cambodia","Agro-industry​; Infrastructure","Other crops;Eco-tourism;Special economic zone","0","7079","Not found","Not found","Ma Shuang Cheng","Chinese","Not found","40844","Ratanakiri","Ta Veng;Andoung Meas","Not found","Not found","Vireak Chey National Park","Not found","Not found","Not found","Government data complete","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_245__28.10.2011.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_83__19.05.2011.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Fu_Sheng_Hai_Cambodia_Co_Ltd__09.06.2014.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_245__28.10.2011.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_83__19.05.2011.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Fu_Sheng_Hai_Cambodia_Co_Ltd__09.06.2014.pdf;</ul>","2015-10-05 00:00:00","English","1"
"191","elc_gdc_278","Heng Heang Siv Chanthou Transport Co. Ltd.","Revoked","Not found","87E1 St.63, Sangkat Boeung Raing, Khan Daun Penh, Phnom Penh","Agro-industry","Rubber;Other crops","0","4000","Not found","Not found","Siv Chanthou","Cambodian","Not found","41166","Mondulkiri","Pech Chreada;Sen Monorom;O'Reang","Sok Dom","Not found","Not found","Not found","Not found","Not found","Government data complete","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Heng_Heang_Siv_Chanthou_Transport_Co_Ltd__09.06.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_149__14.09.2012.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Heng_Heang_Siv_Chanthou_Transport_Co_Ltd__09.06.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_149__14.09.2012.pdf;</ul>","2015-10-05 00:00:00","English","1"
"178","elc_gdc_250","Heng Mean Investment","Revoked","Cambodian","462 B, Preah Monivong Boulevard, Tonle Basak, Khan Chamkar Mon, Phnom Penh, Cambodia","Agro-industry","Unspecified crops;Animal husbandry","70","917","MAFF","MAFF","Lim Heng","Cambodian","2007-01-23","Not found","Kampong Thom","Santuk","Kraya","Not found","Not found","Not found","Not found","Not found","Government data complete","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Heng_Mean_Investment__07.09.2007.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Heng_Mean_Investment__07.09.2007.pdf;</ul>","2015-10-05 00:00:00","English","1"
"129","elc_gdc_195","Jing Zoung Tian Co. Ltd.","Revoked","Not found","Not found","Agro-industry","Rubber;Other crops","0","9936","Not found","Not found","Not found","Not found","Not found","40844","Ratanakiri","Not found","Not found","Not found","Vireak Chey National Park","Not found","Not found","Not found","Government data complete","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_244__28.10.2011.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_84__19.05.2011.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_244__28.10.2011.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_84__19.05.2011.pdf;</ul>","2015-10-05 00:00:00","English","1"
"189","elc_gdc_262","Kasekam Khmer Angkor Co. Ltd.","Revoked","Not found","112Eo St.215, Sangkat Veal Vong, Khan 7 Makara, Phnom Penh","Agro-industry","Rubber;Other crops","0","9160","Not found","Not found","Eap Pai","Not found","Not found","40793","Mondulkiri","Keo Seima","Not found","Not found","Phnom Prich Wildlife Sanctuary","Not found","Not found","Not found","Government data complete","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Kasekam_Khmer_Angkor_Co_Ltd__06.06.2014.pdf‏;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_205__07.09.2011.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Kasekam_Khmer_Angkor_Co_Ltd__06.06.2014.pdf‏;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_205__07.09.2011.pdf;</ul>","2015-10-05 00:00:00","English","1"
