"map_id","min_name","in_country","address","dir_name","dir_nation","mining_reg","com_web","con_date","issu_minis","con_size_h","duration","inv_intent","commodity","min_status","imp_status","eia_date","eia_status","area_name","province","district","commune","data_class","reference","last_update"
"9","Sonuba Cham Industries Co. Ltd.","Not found","Not found","Not found","Not found","Not found","Not found","","","600","Not found","concession for mining","Gemstones","Not found","Not found","","Not found","Phnom Trop","Pailin","Not found","Not found","Government data complete","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/List_of_Land_for_Mineral_Areas.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Mineral_Company_in_Cambodia__05.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Decision_No_15__20.03.2007.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/List_of_Land_for_Mineral_Areas.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Mineral_Company_in_Cambodia__05.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Decision_No_15__20.03.2007.pdf;</ul>","2015-01-20 18:51:17"
"16","Khaou Chuly Development Co. Ltd. & TONG YANG Cement Corporation I","Not found","Not found","Not found","Not found","Not found","http://www.khaouchulygroup.com/","","","696.25","Not found","concession for mining","Limestone","Not found","Not found","","Not found","Phnom Touk Meas West 1","Kampot","Banteay Meas","Not found","Government data complete","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Prakas_No_142__17.02.1997.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/List_of_Land_for_Mineral_Areas.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Prakas_No_142__17.02.1997.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/List_of_Land_for_Mineral_Areas.pdf;</ul>","2015-01-20 18:51:17"
"17","Khaou Chuly Development Co. Ltd. & TONG YANG Cement Corporation II","Not found","Not found","Not found","Not found","Not found","http://www.khaouchulygroup.com/","","","343.75","Not found","concession for mining","Limestone","Not found","Not found","","Not found","Phnom Touk Meas West 2","Kampot","Banteay Meas","Not found","Government data complete","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Prakas_No_142__17.02.1997.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/List_of_Land_for_Mineral_Areas.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Prakas_No_142__17.02.1997.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/List_of_Land_for_Mineral_Areas.pdf;</ul>","2015-01-20 18:51:17"
"63","Jupiter International Resources (Cambodia) Co. Ltd.","Not found","Not found","Not found","Not found","Not found","Not found","1997-09-05","","33000","Not found","concession for mining","Not found","Not found","Not found","","Not found","Ou Ya Dav","Ratanak Kiri","Ou Ya Dav","Not found","Government data complete","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Prakas_No_828__05.09.1997.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Prakas_No_828__05.09.1997.pdf;</ul>","2015-01-20 18:51:17"
"64","SERIKA Co. Ltd.","Not found","Not found","Not found","Not found","Not found","Not found","1996-02-16","","3000","2 years","concession for mining","White dust","Not found","Not found","","Not found","Taman Peamraing","Koh Kong","Not found","Not found","Government data complete","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Prakas_No_102__16.02.1996.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Prakas_No_102__16.02.1996.pdf;</ul>","2015-01-20 18:51:17"
"66","Lian Heng Trading Co. Ltd.","Not found","#129, St. 160, Sangkat Teuk L'ak 2, Khan Tuol Kouk, Phnom Penh","Kaing You Meng","Cambodian","Not found","Not found","","","19600","Not found","concession for mining","Not found","Not found","Not found","","Not found","Angkor Borei","Takeo","Angkor Borei; Treang; Borei Cholsar","Not found","Government data complete","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/MoU__25.09.2008.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Lian_Heng_Mining_Co_Ltd__29.01.2014.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/MoU__25.09.2008.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Lian_Heng_Mining_Co_Ltd__29.01.2014.pdf;</ul>","2015-01-20 18:51:17"
"67","Brewer Natural Resources Development Co. Ltd.","Not found","Not found","Not found","Not found","Not found","Not found","","","72500","2 years","concession for mining","Not found","Not found","Not found","","Not found","Bar Kham-Bar Kaev","Ratanak Kiri","Andoung Meas; Bar Keo","Not found","Government data complete","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Prakas_No_799__02.11.1995.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Prakas_No_799__02.11.1995.pdf;</ul>","2015-01-20 18:51:17"
"68","Brewer Natural Resources Development Co. Ltd.","Not found","Not found","Not found","Not found","Not found","Not found","","","50400","2 years","concession for mining","Not found","Not found","Not found","","Not found","Ou Ya Dav (Upper-Lower)","Ratanak Kiri","Ou Ya Dav","Not found","Government data complete","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Prakas_No_802__03.11.1995.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Prakas_No_802__03.11.1995.pdf;</ul>","2015-01-20 18:51:17"
"69","Sun Trading Co. Ltd.","Korea","Not found","Not found","Not found","Not found","Not found","","","9400","Not found","concession for mining","Not found","Not found","Not found","","Not found","Memong","Mondul Kiri","Not found","Not found","Government data complete","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Prakas_No_554__01.08.1995.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Prakas_No_554__01.08.1995.pdf;</ul>","2015-01-20 18:51:17"
"70","Golden Dorwin Trading Limited","Not found","Not found","Not found","Not found","Not found","Not found","","","637.75","Not found","concession for mining","Limestone","Not found","Not found","","Not found","Phnom Touk Mease West","Kampot","Banteay Meas","Not found","Government data complete","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Prakas_No_217__24.02.1997.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Prakas_No_217__24.02.1997.pdf;</ul>","2015-01-20 18:51:17"
