"map_id","min_name","in_country","address","dir_name","dir_nation","mining_reg","com_web","con_date","issu_minis","con_size_h","duration","inv_intent","commodity","min_status","imp_status","eia_date","eia_status","area_name","province","district","commune","data_class","reference","last_update"
"1","Vannvymex Co. Ltd.","Cambodia","#17, St. 51, Sangkat Phsar Thmei 3, Khan Daun Penh, Phnom Penh","Lay Long","Cambodian","Not found","Not found","","","Not found","99 years","concession for mining","Gold","Not found","Not found","","Not found","Phnom Chi","Kampong Thom","Sandan","Not found","Government data partial","http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/List_of_Land_for_Mineral_Areas.pdf;http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/Vannvymex_Investment_Holding_Co_Ltd__29.01.2014.pdf;<ul>http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/List_of_Land_for_Mineral_Areas.pdf;http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/Vannvymex_Investment_Holding_Co_Ltd__29.01.2014.pdf;</ul>","2015-01-20 18:51:17"
"2","Cambodia International Mining Group","France","#53, Preah Monivong Boulevard, Sangkat Sras Chork, Khan Daun Penh, Phnom Penh","Not found","Not found","Not found","Not found","","","13300","Not found","concession for mining","Not found","Not found","Not found","","Not found","Dambok Sor","Kratie","Sambor","Boeng Char","Government data partial","http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/Cambodia_International_Mining_Group__13.05.2014.pdf;http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/Mineral_Company_in_Cambodia__05.06.2012.pdf;<ul>http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/Cambodia_International_Mining_Group__13.05.2014.pdf;http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/Mineral_Company_in_Cambodia__05.06.2012.pdf;</ul>","2015-01-20 18:51:17"
"3","Meas Narithy Quarry","Not found","Not found","Not found","Not found","Not found","Not found","","","6","Not found","concession for mining","Laterite","Not found","Not found","","Not found","Chikreng","Siem Reap","Chi Kreng","Khvav","Government data partial","http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/List_of_Land_for_Mineral_Areas.pdf;http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/Mineral_Company_in_Cambodia__05.06.2012.pdf;<ul>http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/List_of_Land_for_Mineral_Areas.pdf;http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/Mineral_Company_in_Cambodia__05.06.2012.pdf;</ul>","2015-01-20 18:51:17"
"4","Teng Mab Quarry","Not found","Not found","Not found","Not found","Not found","Not found","","","3","Not found","concession for mining","Laterite","Not found","Not found","","Not found","Chikreng","Siem Reap","Chi Kreng","Khvav","Government data partial","http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/List_of_Land_for_Mineral_Areas.pdf;http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/Mineral_Company_in_Cambodia__05.06.2012.pdf;<ul>http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/List_of_Land_for_Mineral_Areas.pdf;http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/Mineral_Company_in_Cambodia__05.06.2012.pdf;</ul>","2015-01-20 18:51:17"
"5","Chea Ravy Quarry","Cambodia","#110, Group 2, Phum Thmey, Kouk Thlok Kraom Commune, Chi Kreng​ District, Siem Reap Province","Ung Peng Hann","Cambodian","Not found","Not found","","","1","Not found","concession for mining","Laterite","Not found","Not found","","Not found","Nof found","Siem Reap","Chi Kreng","Khvav","Government data partial","http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/List_of_Land_for_Mineral_Areas.pdf;http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/Mineral_Company_in_Cambodia__05.06.2012.pdf;http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/Chea_Ravy_Co_Ltd__29.01.2014.pdf;<ul>http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/List_of_Land_for_Mineral_Areas.pdf;http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/Mineral_Company_in_Cambodia__05.06.2012.pdf;http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/Chea_Ravy_Co_Ltd__29.01.2014.pdf;</ul>","2015-01-20 18:51:17"
"6","NGOV PET","Not found","Not found","Not found","Not found","Not found","Not found","","","1","Not found","concession for mining","Rock","Not found","Not found","","Not found","Mong Kantrop","Kampong Thom","Santok","Kakoh","Government data partial","http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/List_of_Land_for_Mineral_Areas.pdf;http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/Mineral_Company_in_Cambodia__05.06.2012.pdf;<ul>http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/List_of_Land_for_Mineral_Areas.pdf;http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/Mineral_Company_in_Cambodia__05.06.2012.pdf;</ul>","2015-01-20 18:51:17"
"7","Cambodia Mining Development Co. Ltd.","Not found","Not found","Not found","Not found","Not found","Not found","","","400","Not found","concession for mining","Gemstones","Not found","Not found","","Not found","Not found","Battambang","Samlout","Mean Chey","Government data partial","http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/List_of_Land_for_Mineral_Areas.pdf;http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/Mineral_Company_in_Cambodia__05.06.2012.pdf;<ul>http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/List_of_Land_for_Mineral_Areas.pdf;http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/Mineral_Company_in_Cambodia__05.06.2012.pdf;</ul>","2015-01-20 18:51:17"
"8","Jireh International Cambodia Construction & Import-Export Co. Ltd.","Not found","#58, St. 322, Sangkat Boeung Keng Kong 1, Khan Chamkarmon, Phnom Penh","Ngov Sakhorn","Not found","Not found","Not found","","","800","Not found","concession for mining","Gemstones","Not found","Not found","","Not found","Anlong Krapeu-Prekbey","Battambang","Samlout","Not found","Government data partial","http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/List_of_Land_for_Mineral_Areas.pdf;http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/Mineral_Company_in_Cambodia__05.06.2012.pdf;http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/Jireh_International_Cambodia_Construction_Import_Export_Co_Ltd__20.03.2014.pdf;<ul>http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/List_of_Land_for_Mineral_Areas.pdf;http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/Mineral_Company_in_Cambodia__05.06.2012.pdf;http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/Jireh_International_Cambodia_Construction_Import_Export_Co_Ltd__20.03.2014.pdf;</ul>","2015-01-20 18:51:17"
"10","Southern Mining Co. Ltd.","Vietnam","#61, St. 315, Sangkat Boeung Kak 2, Khan Tuol Kouk, Phnom Penh","Dang Thanh Hai","Not found","Not found","Not found","","","10000","Not found","concession for mining","Metal","Not found","Not found","","Not found","Phnom Takry","Pursat","Veal Veng","Promoay","Government data partial","http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/List_of_Land_for_Mineral_Areas.pdf;http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/Mineral_Company_in_Cambodia__05.06.2012.pdf;http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/Southern_Mining_Co_Ltd__22.03.2014.pdf;<ul>http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/List_of_Land_for_Mineral_Areas.pdf;http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/Mineral_Company_in_Cambodia__05.06.2012.pdf;http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/Southern_Mining_Co_Ltd__22.03.2014.pdf;</ul>","2015-01-20 18:51:17"
"11","Cambodia Mineral Development Co. Ltd.","Cambodia","Not found","Not found","Not found","Not found","Not found","","","Not found","Not found","concession for mining","Metal","Not found","Not found","","Not found","Phnom Kambut","Oddar Meanchey","Chong Kal","Pongro; Chong Kal","Government data partial","http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/List_of_Land_for_Mineral_Areas.pdf;<ul>http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/List_of_Land_for_Mineral_Areas.pdf;</ul>","2015-01-20 18:51:17"
