"map_id","min_name","in_country","address","dir_name","dir_nation","mining_reg","com_web","con_date","issu_minis","con_size_h","duration","inv_intent","commodity","min_status","imp_status","eia_date","eia_status","area_name","province","district","commune","data_class","reference","last_update"
"196","Anshan Iron & Steel Group (15%)","China","Not found","Not found","Not found","Not found","Not found","","","Not found","Not found","concession for mining","Iron","Not found","Not found","","Not found","Not found","Preah Vihear","Not found","Not found","Other data","http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/Trade_China_Study__01.01.2008.pdf;<ul>http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/Trade_China_Study__01.01.2008.pdf;</ul>","2015-01-20 18:51:17"
"197","Baosteel Group (20%)","China","Not found","Not found","Not found","Not found","http://www.baosteel.com/group_en/","","","Not found","Not found","concession for mining","Iron","Not found","Not found","","Not found","Not found","Preah Vihear","Not found","Not found","Other data","http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/Trade_China_Study__01.01.2008.pdf;<ul>http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/Trade_China_Study__01.01.2008.pdf;</ul>","2015-01-20 18:51:17"
"198","Shougang Iron & Steel Group (15%)","China","Not found","Not found","Not found","Not found","Not found","","","Not found","Not found","concession for mining","Iron","Not found","Not found","","Not found","Not found","Preah Vihear","Not found","Not found","Other data","http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/Trade_China_Study__01.01.2008.pdf;<ul>http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/Trade_China_Study__01.01.2008.pdf;</ul>","2015-01-20 18:51:17"
"199","Wuhan Steel (50%)","China","Not found","Not found","Not found","Not found","http://www.wisco.com.cn/wisco_en/","","","Not found","Not found","concession for mining","Iron","Not found","Not found","","Not found","Not found","Preah Vihear","Not found","Not found","Other data","http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/Trade_China_Study__01.01.2008.pdf;<ul>http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/Trade_China_Study__01.01.2008.pdf;</ul>","2015-01-20 18:51:17"
"202","Titan Mineral Group Co. Ltd.","China","Not found","Not found","Not found","Not found","http://titan.co.id/","","","Not found","Not found","concession for mining","Metal","Not found","Not found","","Not found","Not found","Stung Treng","Not found","Not found","Other data","http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/NGO_Forum_Document__01.01.2012.pdf;<ul>http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/NGO_Forum_Document__01.01.2012.pdf;</ul>","2015-01-20 18:51:17"
"204","MESCO Gold","India","#216, Preah Norodom Boulevard, Sangkat Tonle Basak, Khan Chamkarmon, Phnom Penh","Mougil Rajeev","Indian","Not found","http://mescosteel.com/","","","Not found","Not found","concession for mining","Gold","Not found","Not found","","Not found","Not found","Ratanak Kiri","Not found","Not found","Other data","http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/Mesco_Gold__07.02.2013.pdf;http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/MESCO_Gold_Cambodia_Ltd__22.03.2014.pdf;<ul>http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/Mesco_Gold__07.02.2013.pdf;http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/MESCO_Gold_Cambodia_Ltd__22.03.2014.pdf;</ul>","2015-01-20 18:51:17"
"207","BHP Billiton World Exploration Inc and Mitsubishi Corporation","Australia-Japan","Not found","Not found","Not found","Not found","Not found","","","99600","Not found","concession for mining","Not found","Not found","Not found","","Not found","Not found","Mondul Kiri","Sen Monorom; Pech Chreada; Ou Reang","Not found","Other data","http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/Mining_Study_Final_Report__1.10.2010.pdf;<ul>http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/Mining_Study_Final_Report__1.10.2010.pdf;</ul>","2015-01-20 18:51:17"
"208","Chin Siv Nginh CSN Cambodia Import Export","Not found","Not found","Not found","Not found","Not found","Not found","","","21600","Not found","concession for mining","Not found","Not found","Not found","","Not found","Not found","Mondul Kiri","Keo Seima","Not found","Other data","http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/Mining_Study_Final_Report__1.10.2010.pdf;<ul>http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/Mining_Study_Final_Report__1.10.2010.pdf;</ul>","2015-01-20 18:51:17"
"209","D&Z Investment Co. Ltd.","Australia","Not found","Not found","Not found","Not found","Not found","","","15600","Not found","concession for mining","Not found","Not found","Not found","","Not found","Not found","Mondul Kiri","Koh Nhek","Not found","Other data","http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/Mining_Study_Final_Report__1.10.2010.pdf;<ul>http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/Mining_Study_Final_Report__1.10.2010.pdf;</ul>","2015-01-20 18:51:17"
"210","Moeung Sok","Cambodia","Not found","Not found","Not found","Not found","Not found","","","Not found","Not found","concession for mining","Not found","Not found","Not found","","Not found","Not found","Mondul Kiri","Pech Chreada","Not found","Other data","http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/Mining_Study_Final_Report__1.10.2010.pdf;<ul>http://www.opendevelopmentcambodia.net/kh/pdf-viewer/?pdf=references/Mining_Study_Final_Report__1.10.2010.pdf;</ul>","2015-01-20 18:51:17"
