"map_id","min_name","in_country","address","dir_name","dir_nation","mining_reg","com_web","con_date","issu_minis","con_size_h","duration","inv_intent","commodity","min_status","imp_status","eia_date","eia_status","area_name","province","district","commune","data_class","reference","last_update"
"48","Southern Gold (Cambodia) Ltd. II","Australia","Not found","Not found","Not found","Not found","http://www.southerngold.com.au/","","","Not found","Not found","concession for mining","Gold","Not found","Not found","","Not found","Preak Khlong","Kratie","Not found","Not found","Secondary source data","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Southern_Gold.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Southern_Gold.pdf;</ul>","2015-01-20 18:51:17"
"49","Southern Gold (Cambodia) Ltd. III","Australia","Not found","Not found","Not found","Not found","http://www.southerngold.com.au/","","","Not found","Not found","concession for mining","Gold","Not found","Not found","","Not found","Srae Pok","Kratie","Not found","Not found","Secondary source data","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Southern_Gold.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Southern_Gold.pdf;</ul>","2015-01-20 18:51:17"
"53","Southern Gold (Cambodia) Ltd. IV","Australia","Not found","Not found","Not found","Not found","http://www.southerngold.com.au/","","","Not found","Not found","concession for mining","Gold","Not found","Not found","","Not found","Phnom Khtong","Kratie","Not found","Not found","Secondary source data","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Southern_Gold.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Southern_Gold.pdf;</ul>","2015-01-20 18:51:17"
"54","Southern Gold (Cambodia) Ltd. V","Australia","Not found","Not found","Not found","Not found","http://www.southerngold.com.au/","","","Not found","Not found","concession for mining","Gold","Not found","Not found","","Not found","Phnom Romdul","Mondul Kiri","Not found","Not found","Secondary source data","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Southern_Gold.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Southern_Gold.pdf;</ul>","2015-01-20 18:51:17"
"55","Southern Gold (Cambodia) Ltd. VI","Australia","Not found","Not found","Not found","Not found","http://www.southerngold.com.au/","","","Not found","Not found","concession for mining","Gold","Not found","Not found","","Not found","Snoul","Kratie","Not found","Not found","Secondary source data","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Southern_Gold.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Southern_Gold.pdf;</ul>","2015-01-20 18:51:17"
"56","Southern Gold (Cambodia) Ltd. VII","Australia","Not found","Not found","Not found","Not found","http://www.southerngold.com.au/","","","Not found","Not found","concession for mining","Gold","Not found","Not found","","Not found","Phnom Khnack","Mondul Kiri","Not found","Not found","Secondary source data","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Southern_Gold.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Southern_Gold.pdf;</ul>","2015-01-20 18:51:17"
"57","Southern Gold (Cambodia) Ltd. I","Australia","Not found","Not found","Not found","Not found","http://www.southerngold.com.au/","","","Not found","Not found","concession for mining","Gold","Not found","Not found","","Not found","OKthung","Kratie","Snoul","Not found","Secondary source data","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Southern_Gold.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Southern_Gold.pdf;</ul>","2015-01-20 18:51:17"
"93","Summer Gold Investment Pvt .Ltd. (Ouyadav)","Cambodia","#193Eo, St. 63, Sangkat Boeung Keng Kong 1, Khan Chamkarmon, Phnom Penh","Heath Jason Shen","Not found","Not found","Not found","2011-09-21","","10000","Not found","concession for mining","Gold","Not found","Not found","","Not found","Not found","Ratanak Kiri","Ou Ya Dav","Bar Kham; Pate","Secondary source data","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Brighton_Mining_Group_Limited__21.09.2011.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Summer_Gold_Investment_Pvt_Ltd__20.03.2014.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Brighton_Mining_Group_Limited__21.09.2011.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Summer_Gold_Investment_Pvt_Ltd__20.03.2014.pdf;</ul>","2015-01-20 18:51:17"
"94","Kenertec (C1)","South Korea","Not found","Not found","Not found","Not found","http://kenertec.site90.com/?topic=4","2008-05-14","","20400","Not found","concession for mining","Iron","Not found","Not found","","Not found","Not found","Stung Treng; Preah Vihear","Thalaborivat; Chey Sen","Anlong Phe; Anlong Chrey; Thmea","Secondary source data","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Kenertec__14.05.2008.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Kenertec__14.05.2008.pdf;</ul>","2015-01-20 18:51:17"
"95","Kenertec (J)","South Korea","Not found","Not found","Not found","Not found","http://kenertec.site90.com/?topic=10","2008-05-14","","Not found","Not found","concession for mining","Iron","Not found","Not found","","Not found","Not found","Preah Vihear","Sangkum Thmei","Chamroeun; Sdau; Ronakse","Secondary source data","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Kenertec__14.05.2008.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Kenertec__14.05.2008.pdf;</ul>","2015-01-20 18:51:17"
