"map_id","block","ssize_skm","operator","co_oper","status","rig_type","reference","last_update"
"1","BLOCK XVIII","0","Not found","Not found","Not found","Onshore","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_National_Petroleum_Authority__15.01.2014.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_National_Petroleum_Authority__15.01.2014.pdf;</ul>","2014-04-02 14:54:49"
"2","BLOCK XIX","0","ATI Petroleum Ltd.","Not found","Not found","Onshore","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_National_Petroleum_Authority__15.01.2014.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_National_Petroleum_Authority__15.01.2014.pdf;</ul>","2014-04-02 14:54:49"
"3","BLOCK XX","0","Not found","Not found","Not found","Onshore","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_National_Petroleum_Authority__15.01.2014.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_National_Petroleum_Authority__15.01.2014.pdf;</ul>","2014-04-02 14:54:49"
"5","BLOCK XXI","0","Not found","Not found","Not found","Onshore","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_National_Petroleum_Authority__15.01.2014.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_National_Petroleum_Authority__15.01.2014.pdf;</ul>","2014-04-02 14:54:49"
"6","BLOCK XXII","0","Not found","Not found","Not found","Onshore","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_National_Petroleum_Authority__15.01.2014.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_National_Petroleum_Authority__15.01.2014.pdf;</ul>","2014-04-02 14:54:49"
"7","BLOCK XXIII","0","Not found","Not found","Not found","Onshore","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_National_Petroleum_Authority__15.01.2014.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_National_Petroleum_Authority__15.01.2014.pdf;</ul>","2014-04-02 14:54:49"
"8","BLOCK XXV","0","Not found","Not found","Not found","Onshore","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_National_Petroleum_Authority__15.01.2014.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_National_Petroleum_Authority__15.01.2014.pdf;</ul>","2014-04-02 14:54:49"
"9","BLOCK XXVI","0","Total","Not found","Not found","Onshore","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_National_Petroleum_Authority__15.01.2014.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_National_Petroleum_Authority__15.01.2014.pdf;</ul>","2014-04-02 14:54:49"
"10","BLOCK VIII","0","Not found","Not found","Not found","Onshore","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_National_Petroleum_Authority__15.01.2014.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_National_Petroleum_Authority__15.01.2014.pdf;</ul>","2014-04-02 14:54:49"
"11","BLOCK X","0","ATI Petroleum Ltd.","Not found","Not found","Onshore","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_National_Petroleum_Authority__15.01.2014.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_National_Petroleum_Authority__15.01.2014.pdf;</ul>","2014-04-02 14:54:49"
"12","BLOCK IX","0","Not found","Not found","Not found","Onshore","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_National_Petroleum_Authority__15.01.2014.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_National_Petroleum_Authority__15.01.2014.pdf;</ul>","2014-04-02 14:54:49"
"13","BLOCK XII","5740","PT MedcoEnergi Internasional Tbk and JHL Petroleum Ltd. (which has since relinquished the block to the government)","JHL Petroleum","Prospecting license. In early stage of exploration.","Onshore","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_National_Petroleum_Authority__15.01.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Oil_and_Gas_Block_Rigzon__10.09.2014.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_National_Petroleum_Authority__15.01.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Oil_and_Gas_Block_Rigzon__10.09.2014.pdf;</ul>","2014-09-18 11:37:34"
"15","BLOCK XIII","6472","CNOOC Limited","Not found","Not found","Onshore","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_National_Petroleum_Authority__15.01.2014.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_National_Petroleum_Authority__15.01.2014.pdf;</ul>","2014-04-02 14:54:49"
"16","BLOCK XIV","0","Not found","Not found","Not found","Onshore","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_National_Petroleum_Authority__15.01.2014.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_National_Petroleum_Authority__15.01.2014.pdf;</ul>","2014-04-02 14:54:49"
"18","BLOCK XI","0","Not found","Not found","Not found","Onshore","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_National_Petroleum_Authority__15.01.2014.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_National_Petroleum_Authority__15.01.2014.pdf;</ul>","2014-04-02 14:54:49"
